HOURLY LOAD VALUES FOR ALL COUNTRIES FOR A SPECIFIC MONTH (IN MW) (Database: 18.09.2014),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country:,-all-,,,,,,,,,,,,,,,,,,,,,,,,
Month:,4,,,,,,,,,,,,,,,,,,,,,,,,
Year:,2013,,,,,,,,,,,,,,,,,,,,,,,,
Values in:,MW,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
This data may not be used without mentioning the source: 'Data provided by ENTSO-E',,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Day,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,24:00:00
AT,2013-04-01,6464,6139,5981,5808,5859,6048,6065,6631,7127,7585,7898,7906,7558,7345,7134,7074,7044,7231,7474,7889,7620,7247,7431,6940
AT,2013-04-02,6668,6335,6225,6181,6499,7454,8727,9698,10280,10533,10635,10623,10325,10267,10118,9941,9807,9824,9823,9842,9270,8469,8464,7831
AT,2013-04-03,7460,7147,7019,6956,7189,8117,9295,10102,10444,10547,10708,10691,10373,10341,10268,10072,9919,9876,9894,9880,9348,8655,8405,7850
AT,2013-04-04,7442,7060,6978,6821,7092,8104,9186,10098,10341,10365,10434,10341,9995,9988,9754,9502,9334,9392,9462,9622,9063,8342,8167,7584
AT,2013-04-05,7229,6971,6767,6705,7028,7935,9100,9912,10261,10340,10502,10418,9987,9863,9655,9539,9445,9549,9473,9356,8717,8050,8105,7522
AT,2013-04-06,7123,6741,6565,6388,6452,6778,7092,7802,8362,8648,8808,8847,8453,8252,8056,7972,7921,7999,7991,8095,7647,7202,7348,6819
AT,2013-04-07,6419,6081,5919,5794,5787,5934,6002,6586,7094,7608,7954,8068,7663,7536,7271,7168,7156,7343,7620,7893,7552,7253,7382,6953
AT,2013-04-08,6692,6404,6346,6272,6620,7686,8858,9602,9820,9793,9856,9797,9570,9431,9304,9095,9000,9113,9185,9299,8810,8130,8000,7430
AT,2013-04-09,7026,6719,6597,6568,6867,7824,8916,9555,9740,9774,9732,9709,9376,9265,9169,9001,8830,8833,8921,9023,8704,7949,7935,7241
AT,2013-04-10,6854,6498,6386,6380,6683,7758,8760,9596,9820,9844,9894,9893,9513,9412,9243,9101,8930,9048,8881,8999,8744,8056,7871,7208
AT,2013-04-11,6851,6566,6481,6409,6703,7720,8782,9549,9689,9560,9670,9748,9466,9421,9238,9010,8827,8736,8817,8853,8592,7816,7774,7203
AT,2013-04-12,6813,6495,6216,6157,6496,7575,8499,9336,9500,9648,9687,9678,9345,9299,9136,8985,8988,9047,8817,8574,8164,7533,7569,6956
AT,2013-04-13,6489,6157,5964,5852,5936,6344,6616,7338,7767,7981,8032,8059,7615,7492,7173,7095,6986,7035,6984,7151,7163,6724,6751,6146
AT,2013-04-14,5824,5514,5367,5309,5332,5480,5565,6090,6452,6778,6965,6996,6620,6397,6124,5950,5978,6240,6582,6979,7092,6680,6719,6152
AT,2013-04-15,5899,5626,5544,5543,5992,7055,8203,8886,9154,9112,9286,9358,9021,8904,8796,8599,8361,8358,8351,8313,8353,7576,7285,6632
AT,2013-04-16,6349,6045,5994,5840,6193,7155,8291,8952,9181,9147,9338,9426,9099,9079,8913,8738,8560,8551,8401,8447,8281,7608,7261,6684
AT,2013-04-17,6572,6350,6148,6145,6455,7286,8301,8889,9086,9061,9128,9038,8947,8842,8667,8505,8377,8326,8283,8364,8203,7935,7414,6957
AT,2013-04-18,6281,5956,5809,5723,6014,7053,8183,8798,9122,9099,9281,9308,8978,8930,8814,8670,8429,8363,8247,8146,8178,7423,7234,6610
