STN,YYYYMMDD,HH,SQ,Q
260,20040101,1,0.0,0.0
260,20040101,2,0.0,0.0
260,20040101,3,0.0,0.0
260,20040101,4,0.0,0.0
260,20040101,5,0.0,0.0
260,20040101,6,0.0,0.0
260,20040101,7,0.0,0.0
260,20040101,8,0.0,0.0
260,20040101,9,0.0,1.0
260,20040101,10,0.0,9.0
260,20040101,11,0.0,11.0
260,20040101,12,0.0,12.0
260,20040101,13,0.0,16.0
260,20040101,14,0.0,13.0
260,20040101,15,0.0,9.0
260,20040101,16,0.0,0.0
260,20040101,17,0.0,0.0
260,20040101,18,0.0,0.0
260,20040101,19,0.0,0.0
260,20040101,20,0.0,0.0
260,20040101,21,0.0,0.0
260,20040101,22,0.0,0.0
260,20040101,23,0.0,0.0
260,20040101,24,0.0,0.0
260,20040102,1,0.0,0.0
260,20040102,2,0.0,0.0
260,20040102,3,0.0,0.0
260,20040102,4,0.0,0.0
260,20040102,5,0.0,0.0
260,20040102,6,0.0,0.0
260,20040102,7,0.0,0.0
260,20040102,8,0.0,0.0
260,20040102,9,5.0,14.0
260,20040102,10,10.0,47.0
260,20040102,11,10.0,71.0
260,20040102,12,10.0,83.0
260,20040102,13,10.0,79.0
260,20040102,14,10.0,59.0
260,20040102,15,8.0,31.0
260,20040102,16,0.0,4.0
260,20040102,17,0.0,0.0
260,20040102,18,0.0,0.0
260,20040102,19,0.0,0.0
260,20040102,20,0.0,0.0
260,20040102,21,0.0,0.0
260,20040102,22,0.0,0.0
260,20040102,23,0.0,0.0
260,20040102,24,0.0,0.0
260,20040103,1,0.0,0.0
260,20040103,2,0.0,0.0
260,20040103,3,0.0,0.0
260,20040103,4,0.0,0.0
260,20040103,5,0.0,0.0
260,20040103,6,0.0,0.0
260,20040103,7,0.0,0.0
260,20040103,8,0.0,0.0
260,20040103,9,0.0,6.0
260,20040103,10,0.0,17.0
260,20040103,11,0.0,28.0
260,20040103,12,0.0,46.0
260,20040103,13,2.0,51.0
260,20040103,14,7.0,38.0
260,20040103,15,10.0,27.0
260,20040103,16,0.0,4.0
260,20040103,17,0.0,0.0
260,20040103,18,0.0,0.0
260,20040103,19,0.0,0.0
260,20040103,20,0.0,0.0
260,20040103,21,0.0,0.0
260,20040103,22,0.0,0.0
260,20040103,23,0.0,0.0
260,20040103,24,0.0,0.0
260,20040104,1,0.0,0.0
260,20040104,2,0.0,0.0
260,20040104,3,0.0,0.0
260,20040104,4,0.0,0.0
260,20040104,5,0.0,0.0
260,20040104,6,0.0,0.0
260,20040104,7,0.0,0.0
260,20040104,8,0.0,0.0
260,20040104,9,0.0,6.0
