utc_timestamp,cet_cest_timestamp,DK_wind_offshore_generation_actual,DK_wind_onshore_generation_actual
2010-12-31T23:00:00Z,2011-01-01T00:00:00+0100,822.4,2563.4
2011-01-01T00:00:00Z,2011-01-01T01:00:00+0100,830.3,2516.4
2011-01-01T01:00:00Z,2011-01-01T02:00:00+0100,830,2376.1
2011-01-01T02:00:00Z,2011-01-01T03:00:00+0100,828.8,2355.8
2011-01-01T03:00:00Z,2011-01-01T04:00:00+0100,821.5,2358.3
2011-01-01T04:00:00Z,2011-01-01T05:00:00+0100,820.8,2329.3
2011-01-01T05:00:00Z,2011-01-01T06:00:00+0100,759.6,2210.5
2011-01-01T06:00:00Z,2011-01-01T07:00:00+0100,698,2148.1
2011-01-01T07:00:00Z,2011-01-01T08:00:00+0100,622.9,2108.3
2011-01-01T08:00:00Z,2011-01-01T09:00:00+0100,770.7,2047.5
2011-01-01T09:00:00Z,2011-01-01T10:00:00+0100,818.4,1927.2
2011-01-01T10:00:00Z,2011-01-01T11:00:00+0100,825.2,1737.5
2011-01-01T11:00:00Z,2011-01-01T12:00:00+0100,818.7,1589.5
2011-01-01T12:00:00Z,2011-01-01T13:00:00+0100,798.8,1559.4
2011-01-01T13:00:00Z,2011-01-01T14:00:00+0100,754.1,1427.5
2011-01-01T14:00:00Z,2011-01-01T15:00:00+0100,756.6,1256.5
2011-01-01T15:00:00Z,2011-01-01T16:00:00+0100,775.5,1057.5
2011-01-01T16:00:00Z,2011-01-01T17:00:00+0100,758.8,896.5
2011-01-01T17:00:00Z,2011-01-01T18:00:00+0100,720.8,750.5
2011-01-01T18:00:00Z,2011-01-01T19:00:00+0100,642.7,655.6
2011-01-01T19:00:00Z,2011-01-01T20:00:00+0100,592.8,577.3
2011-01-01T20:00:00Z,2011-01-01T21:00:00+0100,582,536.1
2011-01-01T21:00:00Z,2011-01-01T22:00:00+0100,533.3,547.1
2011-01-01T22:00:00Z,2011-01-01T23:00:00+0100,516.6,540.5
2011-01-01T23:00:00Z,2011-01-02T00:00:00+0100,487.1,532.4
2011-01-02T00:00:00Z,2011-01-02T01:00:00+0100,458.4,534.6
2011-01-02T01:00:00Z,2011-01-02T02:00:00+0100,497.3,515.9
2011-01-02T02:00:00Z,2011-01-02T03:00:00+0100,469.6,456
2011-01-02T03:00:00Z,2011-01-02T04:00:00+0100,431.9,406.7
2011-01-02T04:00:00Z,2011-01-02T05:00:00+0100,447.2,370.1
2011-01-02T05:00:00Z,2011-01-02T06:00:00+0100,431.6,328.8
2011-01-02T06:00:00Z,2011-01-02T07:00:00+0100,399.2,272.4
2011-01-02T07:00:00Z,2011-01-02T08:00:00+0100,394.6,247.4
2011-01-02T08:00:00Z,2011-01-02T09:00:00+0100,332.8,193.8
2011-01-02T09:00:00Z,2011-01-02T10:00:00+0100,314.7,146
2011-01-02T10:00:00Z,2011-01-02T11:00:00+0100,334.8,114.9
