utc_timestamp,cet_cest_timestamp,NL_wind_offshore_generation_actual,NL_wind_onshore_generation_actual
2015-12-31T23:00:00Z,2016-01-01T00:00:00+0100,202,1451
2016-01-01T00:00:00Z,2016-01-01T01:00:00+0100,277,1205
2016-01-01T01:00:00Z,2016-01-01T02:00:00+0100,267,958
2016-01-01T02:00:00Z,2016-01-01T03:00:00+0100,247,901
2016-01-01T03:00:00Z,2016-01-01T04:00:00+0100,128,809
2016-01-01T04:00:00Z,2016-01-01T05:00:00+0100,64,556
2016-01-01T05:00:00Z,2016-01-01T06:00:00+0100,33,306
2016-01-01T06:00:00Z,2016-01-01T07:00:00+0100,6,213
2016-01-01T07:00:00Z,2016-01-01T08:00:00+0100,0,84
2016-01-01T08:00:00Z,2016-01-01T09:00:00+0100,0,31
2016-01-01T09:00:00Z,2016-01-01T10:00:00+0100,0,18
2016-01-01T10:00:00Z,2016-01-01T11:00:00+0100,0,17
2016-01-01T11:00:00Z,2016-01-01T12:00:00+0100,11,16
2016-01-01T12:00:00Z,2016-01-01T13:00:00+0100,37,30
2016-01-01T13:00:00Z,2016-01-01T14:00:00+0100,63,106
2016-01-01T14:00:00Z,2016-01-01T15:00:00+0100,91,203
2016-01-01T15:00:00Z,2016-01-01T16:00:00+0100,88,355
2016-01-01T16:00:00Z,2016-01-01T17:00:00+0100,123,438
2016-01-01T17:00:00Z,2016-01-01T18:00:00+0100,149,514
2016-01-01T18:00:00Z,2016-01-01T19:00:00+0100,175,718
2016-01-01T19:00:00Z,2016-01-01T20:00:00+0100,220,917
2016-01-01T20:00:00Z,2016-01-01T21:00:00+0100,225,811
2016-01-01T21:00:00Z,2016-01-01T22:00:00+0100,248,943
2016-01-01T22:00:00Z,2016-01-01T23:00:00+0100,266,1053
2016-01-01T23:00:00Z,2016-01-02T00:00:00+0100,281,1163
2016-01-02T00:00:00Z,2016-01-02T01:00:00+0100,291,1249
2016-01-02T01:00:00Z,2016-01-02T02:00:00+0100,297,1335
2016-01-02T02:00:00Z,2016-01-02T03:00:00+0100,295,1380
2016-01-02T03:00:00Z,2016-01-02T04:00:00+0100,292,1365
