utc_timestamp,cet_cest_timestamp,PL_wind_onshore_generation_actual
2016-12-31T23:00:00Z,2017-01-01T00:00:00+0100,2822.002
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,2749.399
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,2691.312
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,2657.64
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,2657.615
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,2562.891
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,2637.189
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,2738.224
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,2828.438
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,2911.912
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,2898.837
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,2854.167
2017-01-01T11:00:00Z,2017-01-01T12:00:00+0100,2730.552
2017-01-01T12:00:00Z,2017-01-01T13:00:00+0100,2699.314
2017-01-01T13:00:00Z,2017-01-01T14:00:00+0100,2682.727
2017-01-01T14:00:00Z,2017-01-01T15:00:00+0100,2938.376
2017-01-01T15:00:00Z,2017-01-01T16:00:00+0100,3183.239
2017-01-01T16:00:00Z,2017-01-01T17:00:00+0100,3340.016
2017-01-01T17:00:00Z,2017-01-01T18:00:00+0100,3320.477
2017-01-01T18:00:00Z,2017-01-01T19:00:00+0100,3206.552
2017-01-01T19:00:00Z,2017-01-01T20:00:00+0100,3073.865
2017-01-01T20:00:00Z,2017-01-01T21:00:00+0100,2947.491
2017-01-01T21:00:00Z,2017-01-01T22:00:00+0100,2750.938
2017-01-01T22:00:00Z,2017-01-01T23:00:00+0100,2531.736
2017-01-01T23:00:00Z,2017-01-02T00:00:00+0100,2507.189
2017-01-02T00:00:00Z,2017-01-02T01:00:00+0100,2451.013
2017-01-02T01:00:00Z,2017-01-02T02:00:00+0100,2486.216
2017-01-02T02:00:00Z,2017-01-02T03:00:00+0100,2623.364
2017-01-02T03:00:00Z,2017-01-02T04:00:00+0100,2635.875
2017-01-02T04:00:00Z,2017-01-02T05:00:00+0100,2668.339
2017-01-02T05:00:00Z,2017-01-02T06:00:00+0100,2629.767
2017-01-02T06:00:00Z,2017-01-02T07:00:00+0100,2645.062
2017-01-02T07:00:00Z,2017-01-02T08:00:00+0100,2555.814
2017-01-02T08:00:00Z,2017-01-02T09:00:00+0100,2518.75
2017-01-02T09:00:00Z,2017-01-02T10:00:00+0100,2606.664
2017-01-02T10:00:00Z,2017-01-02T11:00:00+0100,2508.526
2017-01-02T11:00:00Z,2017-01-02T12:00:00+0100,2541.091
2017-01-02T12:00:00Z,2017-01-02T13:00:00+0100,2439.827
2017-01-02T13:00:00Z,2017-01-02T14:00:00+0100,2489.925
2017-01-02T14:00:00Z,2017-01-02T15:00:00+0100,2576.539
2017-01-02T15:00:00Z,2017-01-02T16:00:00+0100,2462.062
2017-01-02T16:00:00Z,2017-01-02T17:00:00+0100,2481.553
2017-01-02T17:00:00Z,2017-01-02T18:00:00+0100,2542.029
2017-01-02T18:00:00Z,2017-01-02T19:00:00+0100,2633.739
2017-01-02T19:00:00Z,2017-01-02T20:00:00+0100,2713.637
2017-01-02T20:00:00Z,2017-01-02T21:00:00+0100,2547.886
2017-01-02T21:00:00Z,2017-01-02T22:00:00+0100,2517.877
2017-01-02T22:00:00Z,2017-01-02T23:00:00+0100,2579.025
2017-01-02T23:00:00Z,2017-01-03T00:00:00+0100,2470.386
2017-01-03T00:00:00Z,2017-01-03T01:00:00+0100,2493.373
2017-01-03T01:00:00Z,2017-01-03T02:00:00+0100,2358.903
2017-01-03T02:00:00Z,2017-01-03T03:00:00+0100,2438.164
2017-01-03T03:00:00Z,2017-01-03T04:00:00+0100,2451.328
2017-01-03T04:00:00Z,2017-01-03T05:00:00+0100,2383.863
2017-01-03T05:00:00Z,2017-01-03T06:00:00+0100,2432.919
2017-01-03T06:00:00Z,2017-01-03T07:00:00+0100,2470.614
2017-01-03T07:00:00Z,2017-01-03T08:00:00+0100,2333.062
2017-01-03T08:00:00Z,2017-01-03T09:00:00+0100,2070.015
2017-01-03T09:00:00Z,2017-01-03T10:00:00+0100,2146.889
2017-01-03T10:00:00Z,2017-01-03T11:00:00+0100,2341.768
2017-01-03T11:00:00Z,2017-01-03T12:00:00+0100,2467.701
2017-01-03T12:00:00Z,2017-01-03T13:00:00+0100,2536.315
2017-01-03T13:00:00Z,2017-01-03T14:00:00+0100,2808.164
2017-01-03T14:00:00Z,2017-01-03T15:00:00+0100,3159.939
2017-01-03T15:00:00Z,2017-01-03T16:00:00+0100,3550.139
2017-01-03T16:00:00Z,2017-01-03T17:00:00+0100,3999.228
2017-01-03T17:00:00Z,2017-01-03T18:00:00+0100,4376.041
2017-01-03T18:00:00Z,2017-01-03T19:00:00+0100,4698.303
2017-01-03T19:00:00Z,2017-01-03T20:00:00+0100,4887.951
2017-01-03T20:00:00Z,2017-01-03T21:00:00+0100,5005.752
2017-01-03T21:00:00Z,2017-01-03T22:00:00+0100,4977.103
2017-01-03T22:00:00Z,2017-01-03T23:00:00+0100,4963.078
2017-01-03T23:00:00Z,2017-01-04T00:00:00+0100,4976.199
2017-01-04T00:00:00Z,2017-01-04T01:00:00+0100,4920.362
2017-01-04T01:00:00Z,2017-01-04T02:00:00+0100,4875.415
2017-01-04T02:00:00Z,2017-01-04T03:00:00+0100,4831.25
2017-01-04T03:00:00Z,2017-01-04T04:00:00+0100,4802.065
2017-01-04T04:00:00Z,2017-01-04T05:00:00+0100,4746.491
2017-01-04T05:00:00Z,2017-01-04T06:00:00+0100,4714.547
2017-01-04T06:00:00Z,2017-01-04T07:00:00+0100,4656.787
2017-01-04T07:00:00Z,2017-01-04T08:00:00+0100,4635.936
2017-01-04T08:00:00Z,2017-01-04T09:00:00+0100,4600.552
2017-01-04T09:00:00Z,2017-01-04T10:00:00+0100,4696.84
2017-01-04T10:00:00Z,2017-01-04T11:00:00+0100,4665.702
2017-01-04T11:00:00Z,2017-01-04T12:00:00+0100,4643.764
2017-01-04T12:00:00Z,2017-01-04T13:00:00+0100,4518.666
2017-01-04T13:00:00Z,2017-01-04T14:00:00+0100,4487.138
2017-01-04T14:00:00Z,2017-01-04T15:00:00+0100,4529.117
2017-01-04T15:00:00Z,2017-01-04T16:00:00+0100,4626.212
2017-01-04T16:00:00Z,2017-01-04T17:00:00+0100,4640.968
2017-01-04T17:00:00Z,2017-01-04T18:00:00+0100,4558.926
2017-01-04T18:00:00Z,2017-01-04T19:00:00+0100,4621.141
2017-01-04T19:00:00Z,2017-01-04T20:00:00+0100,4695.1
2017-01-04T20:00:00Z,2017-01-04T21:00:00+0100,4719.151
2017-01-04T21:00:00Z,2017-01-04T22:00:00+0100,4716.952
2017-01-04T22:00:00Z,2017-01-04T23:00:00+0100,4696.977
2017-01-04T23:00:00Z,2017-01-05T00:00:00+0100,4672.218
2017-01-05T00:00:00Z,2017-01-05T01:00:00+0100,4623.3
2017-01-05T01:00:00Z,2017-01-05T02:00:00+0100,4575.01
2017-01-05T02:00:00Z,2017-01-05T03:00:00+0100,4588.664
2017-01-05T03:00:00Z,2017-01-05T04:00:00+0100,4509.614
2017-01-05T04:00:00Z,2017-01-05T05:00:00+0100,4386.126
2017-01-05T05:00:00Z,2017-01-05T06:00:00+0100,4265.09
2017-01-05T06:00:00Z,2017-01-05T07:00:00+0100,4117.362
2017-01-05T07:00:00Z,2017-01-05T08:00:00+0100,3980.102
2017-01-05T08:00:00Z,2017-01-05T09:00:00+0100,3780.964
2017-01-05T09:00:00Z,2017-01-05T10:00:00+0100,3726.139
2017-01-05T10:00:00Z,2017-01-05T11:00:00+0100,3843.867
2017-01-05T11:00:00Z,2017-01-05T12:00:00+0100,3902.799
2017-01-05T12:00:00Z,2017-01-05T13:00:00+0100,3938.002
2017-01-05T13:00:00Z,2017-01-05T14:00:00+0100,3728.326
2017-01-05T14:00:00Z,2017-01-05T15:00:00+0100,3463.739
2017-01-05T15:00:00Z,2017-01-05T16:00:00+0100,3229.201
2017-01-05T16:00:00Z,2017-01-05T17:00:00+0100,3134.639
2017-01-05T17:00:00Z,2017-01-05T18:00:00+0100,2898.212
2017-01-05T18:00:00Z,2017-01-05T19:00:00+0100,2648.363
2017-01-05T19:00:00Z,2017-01-05T20:00:00+0100,2251.701
2017-01-05T20:00:00Z,2017-01-05T21:00:00+0100,2133.778
2017-01-05T21:00:00Z,2017-01-05T22:00:00+0100,2056.279
2017-01-05T22:00:00Z,2017-01-05T23:00:00+0100,1813.423
2017-01-05T23:00:00Z,2017-01-06T00:00:00+0100,1779.077
2017-01-06T00:00:00Z,2017-01-06T01:00:00+0100,1793.701
2017-01-06T01:00:00Z,2017-01-06T02:00:00+0100,1671.574
2017-01-06T02:00:00Z,2017-01-06T03:00:00+0100,1576.441
2017-01-06T03:00:00Z,2017-01-06T04:00:00+0100,1660.652
2017-01-06T04:00:00Z,2017-01-06T05:00:00+0100,1415.64
2017-01-06T05:00:00Z,2017-01-06T06:00:00+0100,1388.013
2017-01-06T06:00:00Z,2017-01-06T07:00:00+0100,1200.363
2017-01-06T07:00:00Z,2017-01-06T08:00:00+0100,1276.251
