crt_code,crt_category,co2,other_ghg,total_ghg,unit
,Annual Change in Total Long-term C Storage,0.0,0.0,0.0,kton CO2-eq
,Annual Change in Total Long-term C Storage in HWP Waste,0.0,0.0,0.0,kton CO2-eq
,HWP in SWDS,0.0,0.0,0.0,kton CO2-eq
,Long-term Storage of C in Waste Disposal Sites,0.0,0.0,0.0,kton CO2-eq
,Multilateral Operations,0.0,0.0,0.0,kton CO2-eq
,Total Amount Captured for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of CO₂ Injected at Storage Sites,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Exports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Imports for Storage,0.0,0.0,0.0,kton CO2-eq
,"Total Leakage from Transport, Injection and Storage",0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Biomass,0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Fossil Fuels,0.0,0.0,0.0,kton CO2-eq
,Total GHG emissions with LULUCF,4491.731813600727,926.928840774417,5418.660654375144,kton CO2-eq
,Total GHG emissions with LULUCF including indirect CO₂,4496.940813600727,926.928840774417,5423.869654375144,kton CO2-eq
,Total GHG emissions without LULUCF,4644.860543444491,926.867268240997,5571.727811685488,kton CO2-eq
,Total GHG emissions without LULUCF including indirect CO₂,4650.069543444491,926.867268240997,5576.936811685488,kton CO2-eq
1,Energy,3921.7822458824908,32.56403506921424,3954.346280951705,kton CO2-eq
1.A.1,Energy Industries,1761.4882,5.6633600000000115,1767.15156,kton CO2-eq
1.A.1.a,Public Electricity and Heat Production,1675.77,5.29300000000012,1681.063,kton CO2-eq
1.A.1.a.i,Electricity Generation,1675.77,5.29300000000012,1681.063,kton CO2-eq
1.A.1.b,Petroleum Refining,85.7182,0.1575600000000037,85.87576,kton CO2-eq
1.A.1.c,Manufacture of Solid Fuels and Other Energy Industries,0.0,0.2128,0.2128,kton CO2-eq
1.A.1.c.ii,Oil and Gas Extraction,0.0,0.0,0.0,kton CO2-eq
1.A.1.c.iv,Other,0.0,0.2128,0.2128,kton CO2-eq
1.A.2,Manufacturing Industries and Construction,502.3353681444301,2.4898243933043886,504.8251925377345,kton CO2-eq
1.A.2.a,Iron and Steel,0.0,0.0,0.0,kton CO2-eq
1.A.2.b,Non-Ferrous Metals,4.91,0.008939999999999948,4.91894,kton CO2-eq
1.A.2.c,Chemicals,2.19899577464789,0.007211281689280202,2.20620705633717,kton CO2-eq
1.A.2.d,"Pulp, Paper and Print",4.82073,0.015134849999999922,4.83586485,kton CO2-eq
1.A.2.e,"Food Processing, Beverages and Tobacco",72.57057343505477,0.21026952562600343,72.78084296068077,kton CO2-eq
1.A.2.f,Non-metallic Minerals,379.82674092112865,2.1261936052567307,381.9529345263854,kton CO2-eq
1.A.2.g,Other,38.00832801359883,0.12207513073235532,38.13040314433118,kton CO2-eq
1.A.2.g.i,Manufacturing of Machinery,0.0,0.0,0.0,kton CO2-eq
1.A.2.g.ii,Manufacturing of Transport Equipment,0.0,0.0,0.0,kton CO2-eq
1.A.2.g.iii,Mining (Excluding Fuels) and Quarrying,1.13342068965517,0.003716885661580127,1.13713757531675,kton CO2-eq
1.A.2.g.iv,Wood and Wood Products,0.0,0.0,0.0,kton CO2-eq
1.A.2.g.v,Construction,10.995,0.036185000000001466,11.031185,kton CO2-eq
1.A.2.g.vi,Textile and Leather,0.0,0.0,0.0,kton CO2-eq
1.A.2.g.viii,Other,25.87990732394366,0.08217324507076995,25.96208056901443,kton CO2-eq
1.A.3,Transport,1216.5633258575183,20.22800261896191,1236.7913284764802,kton CO2-eq
1.A.3.a,Domestic Aviation,26.045,0.1981484999999985,26.2431485,kton CO2-eq
1.A.3.b,Road Transportation,1188.3205320937695,19.99596182565665,1208.3164939194262,kton CO2-eq
1.A.3.b.i,Cars,490.74406741765046,12.88309122653493,503.6271586441854,kton CO2-eq
