crt_code,crt_category,co2,other_ghg,total_ghg,unit
,Annual Change in Total Long-term C Storage,0.0,0.0,0.0,kton CO2-eq
,Annual Change in Total Long-term C Storage in HWP Waste,0.0,0.0,0.0,kton CO2-eq
,HWP in SWDS,0.0,0.0,0.0,kton CO2-eq
,Long-term Storage of C in Waste Disposal Sites,0.0,0.0,0.0,kton CO2-eq
,Multilateral Operations,0.0,0.0,0.0,kton CO2-eq
,Total Amount Captured for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of CO₂ Injected at Storage Sites,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Exports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Imports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total GHG emissions with LULUCF including indirect CO₂,0.0,0.0,0.0,kton CO2-eq
,Total GHG emissions without LULUCF including indirect CO₂,0.0,0.0,0.0,kton CO2-eq
,"Total Leakage from Transport, Injection and Storage",0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Biomass,0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Fossil Fuels,0.0,0.0,0.0,kton CO2-eq
,Total GHG emissions with LULUCF,692962.5926666213,94848.81649896258,787811.4091655839,kton CO2-eq
,Total GHG emissions without LULUCF,707491.3649898609,87142.30395207915,794633.6689419401,kton CO2-eq
1,Energy,659812.61142748,11385.037198110018,671197.64862559,kton CO2-eq
1.A.1,Energy Industries,247363.99442121,4433.506863390008,251797.5012846,kton CO2-eq
1.A.1.a,Public Electricity and Heat Production,214808.62099405,4075.6976933100086,218884.31868736,kton CO2-eq
1.A.1.a.iv,Other,214808.62099405,4075.6976933100086,218884.31868736,kton CO2-eq
1.A.1.b,Petroleum Refining,20533.26331129,68.40507345999868,20601.66838475,kton CO2-eq
1.A.1.c,Manufacture of Solid Fuels and Other Energy Industries,12022.11011587,289.4040966199991,12311.51421249,kton CO2-eq
1.A.1.c.iv,Other,12022.11011587,289.4040966199991,12311.51421249,kton CO2-eq
1.A.2,Manufacturing Industries and Construction,121411.40913585,1043.4901918999967,122454.89932775,kton CO2-eq
1.A.2.a,Iron and Steel,36374.09922749,173.05259749000834,36547.15182498001,kton CO2-eq
1.A.2.b,Non-Ferrous Metals,133.39631972,1.4372123299999942,134.83353205,kton CO2-eq
1.A.2.c,Chemicals,0.0,0.0,0.0,kton CO2-eq
1.A.2.d,"Pulp, Paper and Print",4.35850188,11.892986429999999,16.25148831,kton CO2-eq
1.A.2.e,"Food Processing, Beverages and Tobacco",194.75792613,1.9770506499999954,196.73497677999998,kton CO2-eq
1.A.2.f,Non-metallic Minerals,12855.53138784,122.17863012999987,12977.71001797,kton CO2-eq
1.A.2.g,Other,71849.26577279,732.9517148699961,72582.21748765999,kton CO2-eq
1.A.2.g.vii,Off-road Vehicles and Other Machinery,3457.23256645,39.81171682000013,3497.04428327,kton CO2-eq
1.A.3,Transport,163150.61929854,1717.7386192299891,164868.35791777,kton CO2-eq
1.A.3.a,Domestic Aviation,2104.85897278,21.22777227000006,2126.08674505,kton CO2-eq
1.A.3.b,Road Transportation,157444.36417688,1663.0283521999954,159107.39252907998,kton CO2-eq
1.A.3.b.i,Cars,99416.78305937999,804.2967083500116,100221.07976773,kton CO2-eq
1.A.3.b.ii,Light Duty Trucks,11967.25949559,107.03398249999918,12074.29347809,kton CO2-eq
1.A.3.b.iii,Heavy Duty Trucks and Buses,44707.46280884,674.948233709998,45382.41104255,kton CO2-eq
1.A.3.b.iv,Motorcycles,1347.24917538,76.74942764000002,1423.99860302,kton CO2-eq
1.A.3.b.v,Other,5.60963769,0.0,5.60963769,kton CO2-eq
1.A.3.c,Railways,831.99136447,2.1441809100000455,834.13554538,kton CO2-eq
1.A.3.d,Domestic Navigation,1575.43504334,15.409083640000063,1590.84412698,kton CO2-eq
