crt_code,crt_category,co2,other_ghg,total_ghg,unit
,Annual Change in Total Long-term C Storage,0.0,0.0,0.0,kton CO2-eq
,Annual Change in Total Long-term C Storage in HWP Waste,0.0,0.0,0.0,kton CO2-eq
,HWP in SWDS,0.0,0.0,0.0,kton CO2-eq
,Multilateral Operations,0.0,0.0,0.0,kton CO2-eq
,Total Amount Captured for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of CO₂ Injected at Storage Sites,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Exports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Imports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total GHG emissions with LULUCF including indirect CO₂,0.0,0.0,0.0,kton CO2-eq
,Total GHG emissions without LULUCF including indirect CO₂,0.0,0.0,0.0,kton CO2-eq
,"Total Leakage from Transport, Injection and Storage",0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Biomass,125.55475257443086,0.06637347905541446,125.62112605348628,kton CO2-eq
,Waste Incineration with Energy Recovery included as Fossil Fuels,211.45612352585678,2.3429342796706294,213.7990578055274,kton CO2-eq
,Long-term Storage of C in Waste Disposal Sites,2059.24279288013,0.0,2059.24279288013,kton CO2-eq
,Total GHG emissions without LULUCF,12323.982954080047,2213.8686933022054,14537.851647382253,kton CO2-eq
,Total GHG emissions with LULUCF,13127.300892718828,2560.037744766527,15687.338637485354,kton CO2-eq
1,Energy,11919.209430604438,116.57857548458924,12035.788006089027,kton CO2-eq
1.A.1,Energy Industries,8115.257285864285,35.45670865049033,8150.713994514776,kton CO2-eq
1.A.1.a,Public Electricity and Heat Production,6505.892146521772,32.26442957519339,6538.156576096965,kton CO2-eq
1.A.1.b,Petroleum Refining,0.0,0.0,0.0,kton CO2-eq
1.A.1.c,Manufacture of Solid Fuels and Other Energy Industries,1609.365139342513,3.1922790752967103,1612.5574184178097,kton CO2-eq
1.A.2,Manufacturing Industries and Construction,711.7363343322367,6.169178361196941,717.9055126934336,kton CO2-eq
1.A.2.a,Iron and Steel,0.97354532845213,0.0006390549412599311,0.97418438339339,kton CO2-eq
1.A.2.b,Non-Ferrous Metals,0.99463151660414,0.0006528963446600367,0.9952844129488,kton CO2-eq
1.A.2.c,Chemicals,19.97830312023448,0.020631124560651415,19.99893424479513,kton CO2-eq
1.A.2.d,"Pulp, Paper and Print",62.14687427562861,0.06550547092179926,62.21237974655041,kton CO2-eq
1.A.2.e,"Food Processing, Beverages and Tobacco",93.97965106171308,0.12742392699088612,94.10707498870397,kton CO2-eq
1.A.2.f,Non-metallic Minerals,310.794405275783,5.3548788832896435,316.14928415907264,kton CO2-eq
1.A.2.g,Other,222.8689237538212,0.5994470041480042,223.4683707579692,kton CO2-eq
1.A.3,Transport,2387.923043115758,27.93659174685581,2415.859634862614,kton CO2-eq
1.A.3.a,Domestic Aviation,3.88335977607767,0.03127542427187979,3.91463520034955,kton CO2-eq
1.A.3.b,Road Transportation,2318.1614776371703,22.519524929304225,2340.6810025664745,kton CO2-eq
1.A.3.b.i,Cars,1538.6979736823157,14.078489540941746,1552.7764632232575,kton CO2-eq
1.A.3.b.ii,Light Duty Trucks,275.4743585720645,2.3421804137445292,277.816538985809,kton CO2-eq
1.A.3.b.iii,Heavy Duty Trucks and Buses,496.75804949044254,5.898729954771511,502.65677944521406,kton CO2-eq
1.A.3.b.iv,Motorcycles,7.2310958923473,0.2001250198465705,7.43122091219387,kton CO2-eq
1.A.3.b.v,Other,0.0,0.0,0.0,kton CO2-eq
1.A.3.c,Railways,49.44949488070805,5.222108159279998,54.67160303998805,kton CO2-eq
1.A.3.d,Domestic Navigation,16.42871082180227,0.1636832340000005,16.59239405580227,kton CO2-eq
1.A.3.e,Other Transportation,0.0,0.0,0.0,kton CO2-eq
1.A.3.e.i,Pipeline Transport,0.0,0.0,0.0,kton CO2-eq
