crt_code,crt_category,co2,other_ghg,total_ghg,unit
,Annual Change in Total Long-term C Storage,0.0,0.0,0.0,kton CO2-eq
,Annual Change in Total Long-term C Storage in HWP Waste,0.0,0.0,0.0,kton CO2-eq
,HWP in SWDS,0.0,0.0,0.0,kton CO2-eq
,Long-term Storage of C in Waste Disposal Sites,0.0,0.0,0.0,kton CO2-eq
,Multilateral Operations,0.0,0.0,0.0,kton CO2-eq
,Total Amount Captured for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of CO₂ Injected at Storage Sites,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Exports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Imports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total GHG emissions with LULUCF including indirect CO₂,0.0,0.0,0.0,kton CO2-eq
,Total GHG emissions without LULUCF including indirect CO₂,0.0,0.0,0.0,kton CO2-eq
,"Total Leakage from Transport, Injection and Storage",0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Fossil Fuels,1563.2190548,30.34164688227611,1593.5607016822762,kton CO2-eq
,Waste Incineration with Energy Recovery included as Biomass,1924.1131151,0.0,1924.1131151,kton CO2-eq
,Total GHG emissions with LULUCF,205049.5465698499,59535.23299145332,264584.7795613032,kton CO2-eq
,Total GHG emissions without LULUCF,250660.79011544737,59153.37642467767,309814.16654012504,kton CO2-eq
1,Energy,231694.20585635537,4148.770035408554,235842.97589176393,kton CO2-eq
1.A.1,Energy Industries,54728.730548982276,534.5995358265427,55263.33008480882,kton CO2-eq
1.A.1.a,Public Electricity and Heat Production,43564.6982333495,480.4519155199814,44045.150148869485,kton CO2-eq
1.A.1.a.i,Electricity Generation,43506.6533353495,477.84570973597874,43984.49904508548,kton CO2-eq
1.A.1.a.iii,Heat Plants,58.044898,2.6062057839999966,60.651103784,kton CO2-eq
1.A.1.b,Petroleum Refining,10218.71254047808,10.190173457151104,10228.902713935231,kton CO2-eq
1.A.1.c,Manufacture of Solid Fuels and Other Energy Industries,945.3197751546928,43.957446849405756,989.2772220040986,kton CO2-eq
1.A.1.c.i,Manufacture of Solid Fuels,206.07385823546926,0.2630577525548574,206.33691598802412,kton CO2-eq
1.A.1.c.ii,Oil and Gas Extraction,37.877136,8.518084563999999,46.395220564,kton CO2-eq
1.A.1.c.iii,Other Energy Industries,617.1882595853496,30.902073887533106,648.0903334728827,kton CO2-eq
1.A.1.c.iv,Other,84.18052133387405,4.274230645317829,88.45475197919188,kton CO2-eq
1.A.2,Manufacturing Industries and Construction,45648.958474569255,1275.8537382151408,46924.812212784396,kton CO2-eq
1.A.2.a,Iron and Steel,5691.682362220389,14.066288879310378,5705.7486510997,kton CO2-eq
1.A.2.b,Non-Ferrous Metals,1559.8957623103313,22.400701839398607,1582.29646414973,kton CO2-eq
1.A.2.c,Chemicals,8809.97771135744,390.84804114058716,9200.825752498027,kton CO2-eq
1.A.2.d,"Pulp, Paper and Print",4826.053623775888,183.6126713915819,5009.66629516747,kton CO2-eq
1.A.2.e,"Food Processing, Beverages and Tobacco",4675.868418800786,238.07055248943834,4913.938971290224,kton CO2-eq
1.A.2.f,Non-metallic Minerals,12398.123290066662,110.19438233882829,12508.31767240549,kton CO2-eq
1.A.2.g,Other,7687.357306037763,316.66110013599064,8004.018406173754,kton CO2-eq
1.A.2.g.i,Manufacturing of Machinery,1169.5287689999998,60.34578248399998,1229.8745514839998,kton CO2-eq
1.A.2.g.iii,Mining (Excluding Fuels) and Quarrying,412.072494,22.125343895000015,434.197837895,kton CO2-eq
1.A.2.g.iv,Wood and Wood Products,831.5100150000001,62.933786017999864,894.4438010179999,kton CO2-eq
1.A.2.g.v,Construction,1335.415109,67.70421201199997,1403.119321012,kton CO2-eq
1.A.2.g.vi,Textile and Leather,466.551885,25.24204174900001,491.79392674900004,kton CO2-eq
