key,value,comment
input_percentage_of_ht_steam_hot_water_households_final_demand_steam_hot_water,,
input_percentage_of_lt_steam_hot_water_households_final_demand_steam_hot_water,,
input_percentage_of_mt_steam_hot_water_households_final_demand_steam_hot_water,,
households_final_demand_coal_demand,,
households_final_demand_electricity_demand,,
households_final_demand_network_gas_demand,,
households_final_demand_solar_thermal_demand,,
households_final_demand_wood_pellets_demand,,
input_households_final_demand_crude_oil_demand,,
input_households_final_demand_steam_hot_water_demand,171,Taken from Klimaatmonitor 2019 ('Verbruik stadswarmte woningen (temperatuurgecorrigeerd) [TJ]'). See etdataset-public/source_analyses/GM0268_nijmegen/2019/households/households_source_analysis.xlsx.
input_percentage_of_bio_kerosene_households_final_demand_crude_oil,,
input_percentage_of_bio_oil_households_final_demand_crude_oil,,
input_percentage_of_biodiesel_households_final_demand_crude_oil,,
input_percentage_of_crude_oil_households_final_demand_crude_oil,,
input_percentage_of_diesel_households_final_demand_crude_oil,,
input_percentage_of_kerosene_households_final_demand_crude_oil,,
input_percentage_of_lpg_households_final_demand_crude_oil,,
input_households_solar_pv_demand,,
households_final_demand_coal_households_final_demand_for_hot_water_coal_parent_share,,
households_final_demand_coal_households_final_demand_for_space_heating_coal_parent_share,,
households_final_demand_crude_oil_households_final_demand_for_hot_water_crude_oil_parent_share,,
households_final_demand_crude_oil_households_final_demand_for_space_heating_crude_oil_parent_share,,
households_final_demand_electricity_households_final_demand_for_appliances_electricity_parent_share,,
households_final_demand_electricity_households_final_demand_for_cooking_electricity_parent_share,,
households_final_demand_electricity_households_final_demand_for_cooling_electricity_parent_share,,
households_final_demand_electricity_households_final_demand_for_hot_water_electricity_parent_share,,
households_final_demand_electricity_households_final_demand_for_lighting_electricity_parent_share,,
households_final_demand_electricity_households_final_demand_for_space_heating_electricity_parent_share,,
households_final_demand_network_gas_households_final_demand_for_cooking_network_gas_parent_share,,
households_final_demand_network_gas_households_final_demand_for_cooling_network_gas_parent_share,,
