crt_code,crt_category,co2,other_ghg,total_ghg,unit
,Annual Change in Total Long-term C Storage,0.0,0.0,0.0,kton CO2-eq
,Annual Change in Total Long-term C Storage in HWP Waste,0.0,0.0,0.0,kton CO2-eq
,HWP in SWDS,0.0,0.0,0.0,kton CO2-eq
,Long-term Storage of C in Waste Disposal Sites,0.0,0.0,0.0,kton CO2-eq
,Multilateral Operations,0.0,0.0,0.0,kton CO2-eq
,Total Amount Captured for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of CO₂ Injected at Storage Sites,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Exports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Imports for Storage,0.0,0.0,0.0,kton CO2-eq
,"Total Leakage from Transport, Injection and Storage",0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Biomass,113.79982560232438,2.515302754304841,116.31512835662922,kton CO2-eq
,Waste Incineration with Energy Recovery included as Fossil Fuels,120.45519491619571,2.670318806905186,123.1255137231009,kton CO2-eq
,Total GHG emissions with LULUCF,3962.7523323409205,4876.216076987628,8838.968409328549,kton CO2-eq
,Total GHG emissions with LULUCF including indirect CO₂,3975.4289023839387,4876.216076987628,8851.644979371567,kton CO2-eq
,Total GHG emissions without LULUCF,7650.646791558742,3481.218372555628,11131.86516411437,kton CO2-eq
,Total GHG emissions without LULUCF including indirect CO₂,7663.323361601761,3481.218372555628,11144.541734157388,kton CO2-eq
1,Energy,6975.707601106537,500.63156972021443,7476.339170826752,kton CO2-eq
1.A.1,Energy Industries,1783.0892596887088,40.60848042410066,1823.6977401128095,kton CO2-eq
1.A.1.a,Public Electricity and Heat Production,1719.5283401804597,39.74131192410073,1759.2696521045605,kton CO2-eq
1.A.1.a.i,Electricity Generation,0.0,0.0,0.0,kton CO2-eq
1.A.1.a.ii,Combined Heat and Power Generation,1586.714101403392,25.59914192410065,1612.3132433274927,kton CO2-eq
1.A.1.a.iii,Heat Plants,132.8142387770677,14.142169999999993,146.95640877706768,kton CO2-eq
1.A.1.b,Petroleum Refining,0.0,0.0,0.0,kton CO2-eq
1.A.1.c,Manufacture of Solid Fuels and Other Energy Industries,63.5609195082491,0.8671685000000053,64.4280880082491,kton CO2-eq
1.A.1.c.i,Manufacture of Solid Fuels,63.5609195082491,0.8671685000000053,64.4280880082491,kton CO2-eq
1.A.2,Manufacturing Industries and Construction,625.8529913465231,48.24104283321003,674.0940341797332,kton CO2-eq
1.A.2.a,Iron and Steel,0.33338130959336,0.007927000000000017,0.34130830959336,kton CO2-eq
1.A.2.b,Non-Ferrous Metals,1.37450604739004,0.001931000000000127,1.37643704739004,kton CO2-eq
1.A.2.c,Chemicals,26.73068115719078,0.3252699999999997,27.05595115719078,kton CO2-eq
1.A.2.d,"Pulp, Paper and Print",5.52953878428311,0.03769549999999988,5.56723428428311,kton CO2-eq
1.A.2.e,"Food Processing, Beverages and Tobacco",88.75427396231724,1.043712499999998,89.79798646231724,kton CO2-eq
1.A.2.f,Non-metallic Minerals,304.55367864812325,6.616596561209974,311.1702752093332,kton CO2-eq
1.A.2.g,Other,198.57693143762538,40.20791027200002,238.7848417096254,kton CO2-eq
1.A.2.g.i,Manufacturing of Machinery,11.39841415735982,0.2149660200000003,11.61338017735982,kton CO2-eq
1.A.2.g.ii,Manufacturing of Transport Equipment,3.40348473310377,0.007584000000000035,3.41106873310377,kton CO2-eq
1.A.2.g.iii,Mining (Excluding Fuels) and Quarrying,1.83359720276349,0.015098500000000126,1.84869570276349,kton CO2-eq
1.A.2.g.iv,Wood and Wood Products,27.86334804180927,26.425640499999997,54.28898854180927,kton CO2-eq
1.A.2.g.v,Construction,24.83304908223449,0.11786180000000002,24.95091088223449,kton CO2-eq
1.A.2.g.vi,Textile and Leather,9.58567805100234,0.022674000000000305,9.60835205100234,kton CO2-eq
