reference,slope,constant
6.914,0.00001597,0.00002917
6.735,0.00001428,0.00002838
8.07,0.00001155,0.00002228
7.147,0.00001236,0.00002429
7.55,0.00001205,0.00002409
9.347,0.00001125,0.00002017
10.813,0.00000938,0.00001987
3.065,0.00001728,0.00003709
5.651,0.00001362,0.00003029
7.292,0.00001267,0.00004492
14.809,0.00000846,0.00004525
15.887,0.00000836,0.0000405
16.695,0.00000935,0.00003118
16.313,0.00000932,0.00003331
15.076,0.0000103,0.00003312
14.751,0.00001019,0.00003014
14.433,0.00001014,0.00002528
12.535,0.00001087,0.00003143
10.751,0.0000128,0.00003584
9.007,0.00001527,0.00003805
8.544,0.00001619,0.00003875
8.476,0.00001779,0.00003721
7.967,0.00002012,0.00003716
6.606,0.00002164,0.00003721
6.995,0.0000169,0.00002719
7.292,0.00001487,0.00002124
7.711,0.00001385,0.00001746
7.877,0.00001378,0.00001838
8.314,0.00001391,0.00002048
9.275,0.00001382,0.0000215
8.57,0.00001739,0.00004726
10.232,0.0000167,0.00007376
11.874,0.00001405,0.00005263
14.334,0.00001175,0.00004065
15.303,0.00001198,0.00003896
15.279,0.00001244,0.00003476
15.435,0.00001263,0.00003179
16.021,0.00001175,0.00003193
15.617,0.00001164,0.00003086
14.662,0.0000116,0.00003019
13.438,0.00001122,0.00003031
11.752,0.000013,0.00002361
8.838,0.00001521,0.00003994
8.6,0.00001408,0.00004095
9.366,0.00001472,0.00003479
8.968,0.00001623,0.00003409
7.833,0.00001955,0.00003818
7.116,0.00001909,0.00003634
6.995,0.0000169,0.00002719
7.292,0.00001487,0.00002124
7.711,0.00001385,0.00001746
7.877,0.00001378,0.00001838
8.314,0.00001391,0.00002048
9.275,0.00001382,0.0000215
8.57,0.00001739,0.00004726
10.232,0.0000167,0.00007376
11.874,0.00001405,0.00005263
14.334,0.00001175,0.00004065
15.303,0.00001198,0.00003896
15.279,0.00001244,0.00003476
15.435,0.00001263,0.00003179
16.021,0.00001175,0.00003193
15.617,0.00001164,0.00003086
14.662,0.0000116,0.00003019
13.438,0.00001122,0.00003031
11.752,0.000013,0.00002361
8.838,0.00001521,0.00003994
8.6,0.00001408,0.00004095
9.366,0.00001472,0.00003479
8.968,0.00001623,0.00003409
7.833,0.00001955,0.00003818
7.116,0.00001909,0.00003634
6.995,0.0000169,0.00002719
7.292,0.00001487,0.00002124
7.711,0.00001385,0.00001746
7.877,0.00001378,0.00001838
8.314,0.00001391,0.00002048
9.275,0.00001382,0.0000215
8.57,0.00001739,0.00004726
10.232,0.0000167,0.00007376
11.874,0.00001405,0.00005263
14.334,0.00001175,0.00004065
15.303,0.00001198,0.00003896
15.279,0.00001244,0.00003476
15.435,0.00001263,0.00003179
16.021,0.00001175,0.00003193
15.617,0.00001164,0.00003086
14.662,0.0000116,0.00003019
13.438,0.00001122,0.00003031
11.752,0.000013,0.00002361
8.838,0.00001521,0.00003994
8.6,0.00001408,0.00004095
9.366,0.00001472,0.00003479
8.968,0.00001623,0.00003409
7.833,0.00001955,0.00003818
