crt_code,crt_category,co2,other_ghg,total_ghg,unit
1,Energy,38007.64692840227,265.1135762055366,38272.7605046078,kton CO2-eq
1.A,Fuel combustion,37704.53733550013,252.38310040229865,37956.92043590243,kton CO2-eq
1.A.1,Energy industries,20793.3475459276,87.07638701914401,20880.423932946745,kton CO2-eq
1.A.1.a,Public electricity and heat production,20793.3475459276,87.07638701914401,20880.423932946745,kton CO2-eq
1.A.1.a.i,Electricity generation,19944.54220683247,56.671002837144016,20001.213209669615,kton CO2-eq
1.A.1.a.ii,Combined heat and power generation,848.8053390951266,30.405384182,879.2107232771266,kton CO2-eq
1.A.1.a.iii,Heat plants,,,,kton CO2-eq
1.A.1.b,Petroleum refining,,,,kton CO2-eq
1.A.1.c,Manufacture of solid fuels and other energy industries,,,,kton CO2-eq
1.A.1.c.i,Manufacture of solid fuels,,,,kton CO2-eq
1.A.1.c.ii,Oil and gas extraction,,,,kton CO2-eq
1.A.1.c.iii,Other energy industries,,,,kton CO2-eq
1.A.2,Manufacturing industries and construction,10430.247458605863,22.032445540154654,10452.279904146018,kton CO2-eq
1.A.2.a,Iron and steel,,,,kton CO2-eq
1.A.2.b,Non-ferrous metals,,,,kton CO2-eq
1.A.2.c,Chemicals,9176.437296605864,18.009014350154658,9194.446310956018,kton CO2-eq
1.A.2.d,"Pulp, paper and print",,,,kton CO2-eq
1.A.2.e,"Food processing, beverages and tobacco",,,,kton CO2-eq
1.A.2.f,Non-metallic minerals,,,,kton CO2-eq
1.A.2.g,Other,1253.810162,4.02343119,1257.83359319,kton CO2-eq
1.A.2.g.i,Manufacturing of machinery,,,,kton CO2-eq
1.A.2.g.ii,Manufacturing of transport equipment,,,,kton CO2-eq
1.A.2.g.iii,Mining (excluding fuels) and quarrying,,,,kton CO2-eq
1.A.2.g.iv,Wood and wood products,,,,kton CO2-eq
1.A.2.g.v,Construction,,,,kton CO2-eq
1.A.2.g.vi,Textile and leather,,,,kton CO2-eq
1.A.2.g.vii,Off-road vehicles and other machinery,,,,kton CO2-eq
1.A.2.g.viii,Other (please specify),1253.810162,4.02343119,1257.83359319,kton CO2-eq
1.A.3,Transport,5840.534386966667,141.488545353,5982.022932319666,kton CO2-eq
1.A.3.a,Domestic aviation,,,,kton CO2-eq
1.A.3.b,Road transportation,5627.654497666666,139.402839555,5767.057337221667,kton CO2-eq
1.A.3.b.i,Cars,2081.1462209999995,84.6873354,2165.8335563999995,kton CO2-eq
1.A.3.b.ii,Light duty trucks,3546.508276666667,54.715504155,3601.223780821667,kton CO2-eq
1.A.3.b.iii,Heavy duty trucks and buses,,,,kton CO2-eq
1.A.3.b.iv,Motorcycles,,,,kton CO2-eq
1.A.3.b.v,Other (please specify),,,,kton CO2-eq
1.A.3.c,Railways,,,,kton CO2-eq
1.A.3.d,Domestic Navigation,212.87988930000003,2.085705798,214.965595098,kton CO2-eq
1.A.3.e,Other transportation,,,,kton CO2-eq
1.A.3.e.i,Pipeline transport,,,,kton CO2-eq
1.A.3.e.ii,Other (please specify),,,,kton CO2-eq
1.A.4,Other sectors,640.407944,1.78572249,642.19366649,kton CO2-eq
1.A.4.a,Commercial/institutional,294.54453893333334,0.837054441,295.38159337433336,kton CO2-eq
1.A.4.a.i,Stationary combustion,294.54453893333334,0.837054441,295.38159337433336,kton CO2-eq
1.A.4.a.ii,Off-road vehicles and other machinery,,,,kton CO2-eq
1.A.4.b,Residential,345.8634050666667,0.948668049,346.8120731156667,kton CO2-eq
1.A.4.b.i,Stationary combustion,345.8634050666667,0.948668049,346.8120731156667,kton CO2-eq
1.A.4.b.ii,Off-road vehicles and other machinery,,,,kton CO2-eq
1.A.4.c,Agriculture/forestry/fishing,,,,kton CO2-eq
1.A.4.c.i,Stationary,,,,kton CO2-eq
1.A.4.c.ii,Off-road vehicles and other machinery,,,,kton CO2-eq
1.A.4.c.iii,Fishing,,,,kton CO2-eq
1.A.5,Other (Not specified elsewhere),,,,kton CO2-eq
1.A.5.a,Stationary (please specify),,,,kton CO2-eq
1.A.5.b,Mobile (please specify),,,,kton CO2-eq
1.B,Fugitive emissions from fuels,303.1095929021403,12.730475803237937,315.84006870537826,kton CO2-eq
1.B.1,Solid fuels,,,,kton CO2-eq
1.B.1.a,Coal mining and handling,,,,kton CO2-eq
1.B.1.a.i,Underground mines,,,,kton CO2-eq
1.B.1.a.ii,Surface mines,,,,kton CO2-eq
1.B.1.b,Fuel transformation,,,,kton CO2-eq
1.B.1.b.i,Charcoal and biochar production,,,,kton CO2-eq
1.B.1.b.ii,Coke production,,,,kton CO2-eq
1.B.1.b.iii,Coal to liquids,,,,kton CO2-eq
1.B.1.b.iv,Gas to liquids,,,,kton CO2-eq
1.B.1.b.v,Other (please specify),,,,kton CO2-eq
1.B.1.c,Other (please specify),,,,kton CO2-eq
1.B.2,Oil and natural gas and other emissions from energy production,303.1095929021403,12.730475803237937,315.84006870537826,kton CO2-eq
1.B.2.a,Oil,,,,kton CO2-eq
1.B.2.a.i,Exploration,,,,kton CO2-eq
1.B.2.a.ii,Production and upgrading,,,,kton CO2-eq
1.B.2.a.iii,Transport,,,,kton CO2-eq
1.B.2.a.iv,Refining/storage,,,,kton CO2-eq
1.B.2.a.v,Distribution of oil products,,,,kton CO2-eq
1.B.2.a.vi,Other,,,,kton CO2-eq
1.B.2.b,Natural gas,,,,kton CO2-eq
1.B.2.b.i,Exploration,,,,kton CO2-eq
1.B.2.b.ii,Production and gathering,,,,kton CO2-eq
1.B.2.b.iii,Processing,,,,kton CO2-eq
1.B.2.b.iv,Transmission and storage,,,,kton CO2-eq
1.B.2.b.v,Distribution,,,,kton CO2-eq
1.B.2.b.vi,Other,,,,kton CO2-eq
1.B.2.c,Venting and flaring,303.1095929021403,12.730475803237937,315.84006870537826,kton CO2-eq
1.B.2.c.i,Venting,,,,kton CO2-eq
1.B.2.c.ii,Flaring,303.1095929021403,12.730475803237937,315.84006870537826,kton CO2-eq
1.B.2.d,Other (please specify),,,,kton CO2-eq
1.C,CO2 transport and storage,,,,kton CO2-eq
1.C.1,Transport of CO2,,,,kton CO2-eq
1.C.1.a,Pipelines,,,,kton CO2-eq
1.C.1.b,Ships,,,,kton CO2-eq
1.C.1.c,Other (please specify),,,,kton CO2-eq
1.C.2,Injection and storage,,,,kton CO2-eq
1.C.2.a,Injection,,,,kton CO2-eq
1.C.2.b,Storage,,,,kton CO2-eq
