Key,Value,Source
country,be,
base_year,2013,
metal_steel_production,7.1,World Steel Association
metal_steel_share_blast_furnace_current,0.636,World Steel Association
metal_steel_share_blast_furnace_bat,0,
metal_steel_share_cyclone,0,
metal_steel_share_electric,0.364,World Steel Association
metal_steel_burner_share_coal,0.52,Optimized
metal_steel_burner_share_coal_gas,0.48,Optimized
metal_steel_burner_share_network_gas,0,Optimized
metal_aluminium_production,0,No aluminium melters in Belgium according to Wikipedia
metal_aluminium_share_electrolysis_current,0.8,NL 2011 value
metal_aluminium_share_electrolysis_bat,0,NL 2011 value
metal_aluminium_share_melting_oven,0.2,NL 2011 value
metal_aluminium_share_carbothermal_reduction,0,NL 2011 value
