PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural Gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other Kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,Tide. wave and ocean,Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,0,0,0,0,2911.54,87238.38,46849.2,0,0,0,0,0,0,0,0,0,0,751369.37,0,4386143.3,225406.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2812794.4,4035.24,262431.64,81617.56,311380.48,0,0,0,0,159737.85,1407824.56,0,0,23059.55,0,23677.86,0,0,2886.46,10589364.17,4926821.3
Imports,0,0,0,328161.34,170038.13,5837.57,0,0,54773.56,0,0,0,0,0,0,0,0,591411.17,0,852935.82,0,0,0,0,0,0,86253.9,73021.6,0,0,61395.61,0,355930.42,3846.54,220260.18,0,31401.33,3592.86,0,137647.54,9049.39,0,0,0,0,0,791.31,0,2057.39,0,0,0,0,0,0,0,0,0,0,0,0,145228.54,0,3133634.2,2848.7
Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-858734.03,0,0,0,0,0,0,-2323.63,-10711.59,-488.18,0,-2177.14,0,-12891.45,-237483.04,0,0,-4385.42,-5960.87,0,-14772.96,-4076.31,0,0,0,0,0,-40808.87,0,-23792.04,0,0,0,0,0,0,0,0,0,0,0,0,-1681.5,0,-1220287.07,-64600.9
International marine bunkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23669.53,-117679.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-141349.26,0
International aviation bunkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97579.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97579.86,0
Stock changes,0,0,0,-2168.72,715.94,-379.53,-6079.48,0,982.22,0,0,0,0,0,0,0,0,0,0,-213.15,0,0,0,0,0,0,185.89,43107.59,88.76,0,1393.37,0,-5410.18,1442.44,5207.21,0,289.6,81.64,0,245.05,2201.21,0,0,0,0,0,-5793.48,0,-3745.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32150.81,-9539.04
Total primary energy supply,0,0,0,325992.62,173665.62,92696.42,40769.72,0,55755.78,0,0,0,0,0,0,0,0,1342780.53,0,4380131.9,225406.76,0,00E+00,0,0,0,0,84116.12,105417.6,-399.42,0,-36968.02,0,313959.26,-349873.79,225467.39,0,27305.51,-2286.37,0,123119.64,7174.29,0,0,0,2812794.4,4035.24,216620.55,81617.56,285900.29,0,0,0,0,159737.85,1407824.56,0,0,23059.55,0,23677.86,0,143547.03,2886.46,12295932.95,4855530.01
Transfers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89981.83,0,0,0,0,0,49958.49,-41888.35,0,0,0,0,0,0,6141.83,0,0,0,0,-9626.92,37298.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48098.63,0
Statistical differences,0,0,0,0,0,-524.1,0,0,-28.89,0,0,0,0,0,1,0,0,-3976.87,0,19483.73,0,0,0,0,-560.11,0,-1765.99,-391.88,-133.14,0,-3091.53,43.54,-30009.56,-1522.57,578.57,0,-41.37,0,0,-3290.66,-489.14,0,0,0,-1,0,-84.78,0,-4510.48,0,0,0,0,0,0,0,0,0,0,0,0,-1087.4,0,-31402.63,-4596.27
