Key,Value,Source
country,br,
base_year,2013,
pp_share_coal_us,0,IEA 2010 (http://www.worldenergyoutlook.org/media/weowebsite/energymodel/ProjectedCostsofGeneratingElectricity2010.pdf)
pp_share_coal_us_ccs,0,IEA 2010 (http://www.worldenergyoutlook.org/media/weowebsite/energymodel/ProjectedCostsofGeneratingElectricity2010.pdf)
pp_share_coal_cc,0,IEA 2010 (http://www.worldenergyoutlook.org/media/weowebsite/energymodel/ProjectedCostsofGeneratingElectricity2010.pdf)
pp_share_coal_cc_ccs,0,IEA 2010 (http://www.worldenergyoutlook.org/media/weowebsite/energymodel/ProjectedCostsofGeneratingElectricity2010.pdf)
pp_share_lignite_us,1,Assumed
pp_share_lignite_us_ccs,0,Assumed
pp_share_gas_turbine,0,IEA 2010 (http://www.worldenergyoutlook.org/media/weowebsite/energymodel/ProjectedCostsofGeneratingElectricity2010.pdf)
pp_share_gas_cc,1,IEA 2010 (http://www.worldenergyoutlook.org/media/weowebsite/energymodel/ProjectedCostsofGeneratingElectricity2010.pdf)
pp_share_gas_cc_ccs,0,IEA 2010 (http://www.worldenergyoutlook.org/media/weowebsite/energymodel/ProjectedCostsofGeneratingElectricity2010.pdf)
pp_share_gas_engine,0,IEA 2010 (http://www.worldenergyoutlook.org/media/weowebsite/energymodel/ProjectedCostsofGeneratingElectricity2010.pdf)
pp_share_gas_us,0,IEA 2010 (http://www.worldenergyoutlook.org/media/weowebsite/energymodel/ProjectedCostsofGeneratingElectricity2010.pdf)
pp_share_nuclear_2,1,According to http://www.world-nuclear.org/info/Country-Profiles/Countries-A-F/Brazil/
pp_share_nuclear_3,0,According to http://www.world-nuclear.org/info/Country-Profiles/Countries-A-F/Brazil/
pp_share_hydro_river,0.95,"Assumed
pp_share_hydro_mountain,0.05,"Assumed
pp_share_wind_coastal,0,According to http://www.thewindpower.net/country_en_26_brazil.php
pp_share_wind_offshore,0,According to http://www.thewindpower.net/country_en_26_brazil.php
pp_share_wind_inland,1,According to http://www.thewindpower.net/country_en_26_brazil.php
pp_flh_coal_us_co,7700,Not relevant
pp_flh_coal_supercritical,6800,Not relevant
pp_flh_coal_us,7700,Not relevant
pp_flh_coal_us_ccs,6000,Not relevant
pp_flh_coal_cc,4600,Not relevant
pp_flh_coal_cc_ccs,4500,Not relevant
pp_flh_lignite_us,6329,
pp_flh_lignite_us_ccs,5972,Not relevant
pp_flh_gas_turbine,500,Not relevant
pp_flh_gas_cc,4200,
pp_flh_gas_cc_ccs,3500,Not relevant
pp_flh_gas_engine,1,Not relevant
pp_flh_gas_us,700,Not relevant
pp_flh_nuclear_2,7750,Not relevant
pp_flh_nuclear_3,7843,Not relevant
pp_flh_hydro_river,2500,
pp_flh_hydro_mountain,3942,
pp_flh_solar_pv,872,Not relevant
pp_flh_residential_solar_pv,872,Not relevant
pp_flh_caps_solar_pv,872,Not relevant
pp_flh_solar_csp,500,Not relevant
pp_flh_wind_coastal,3000,Not relevant
pp_flh_wind_offshore,3500,Not relevant
pp_flh_wind_inland,2250,Not relevant
pp_flh_oil_us,3504,Not relevant
pp_flh_diesel,3504,Not relevant
pp_flh_waste,3800,Not relevant
pp_flh_geothermal,8250,Not relevant
pp_flh_hydrogen_turbine,500,no hydrogen electricity production
pp_demand_hydrogen_turbine,0,no hydrogen electricity production
pp_eff_coal_us_co,0.42,See node source analysis of energy_power_ultra_supercritical_cofiring_coal
pp_eff_coal_supercritical,0.36,See node source analysis of energy_power_supercritical_coal
pp_eff_coal_us,0.46,See node source analysis of energy_power_ultra_supercritical_coal
pp_eff_coal_us_ccs,0.361,See node source analysis of energy_power_ultra_supercritical_ccs_coal
pp_eff_coal_cc,0.453,See node source analysis of energy_power_combined_cycle_coal
pp_eff_coal_cc_ccs,0.373,See node source analysis of energy_power_combined_cycle_ccs_coal
pp_eff_lignite_us,0.4,See node source analysis of energy_power_ultra_supercritical_lignite
pp_eff_lignite_us_ccs,0.305,See node source analysis of energy_power_ultra_supercritical_oxyfuel_ccs_lignite
pp_eff_gas_turbine,0.34,See node source analysis of energy_power_turbine_network_gas 
pp_eff_gas_cc,0.6,See node source analysis of energy_power_combined_cycle_network_gas
pp_eff_gas_cc_ccs,0.49,See node source analysis of energy_power_combined_cycle_ccs_network_gas
pp_eff_gas_engine,0.48,See node source analysis of energy_power_engine_network_gas
pp_eff_gas_us,0.4,See node source analysis of energy_power_ultra_supercritical_network_gas
pp_eff_nuclear_2,0.32,See node source analysis of energy_power_nuclear_gen2_uranium_oxide
