,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-6.25385050000000E+04,-1.85064325000000E+05,1.12170420000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-2.38078380000000E+05,1.73694315000000E+05,4.51554100000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,2.16526450000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.65300000000000E+02,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,2.07577711376000E+04,1.12481723024000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,8.65374758400001E+03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,1.62666666666667E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.88128000000000E+04,0.00000000000000E+00
Industry - Other metals,2.98370643247534E+04,-,-,6.50719617358621E+04,1.02444050000000E+04,0.00000000000000E+00,3.58584228777133E+03,6.52213324160000E+04,3.45663503005997E+01
