Key,Value,Source / comment
area,dk,
group,country,
id,10,
parent_id,10,
enabled.etengine,true,
enabled.etmodel,true,
analysis_year,2015,
has_agriculture,true,
has_buildings,true,
has_climate,true,
has_coastline,true,
has_cold_network,false,
has_electricity_storage,true,
has_employment,true,
has_detailed_chemical_industry,true,
has_detailed_other_industry,true,
has_fce,true,
has_industry,true,
has_lignite,true,
has_merit_order,true,
has_metal,false,
has_mountains,false,
has_old_technologies,true,
has_other,true,
has_solar_csp,false,
has_import_export,true,
use_network_calculations,true,
has_aggregated_chemical_industry,false,
has_aggregated_other_industry,false,
areable_land,26225.8,DK 2015 > 11_area_source_analysis
coast_line,7314,DK 2015 > 11_area_source_analysis
ccs_cost_in_industry,90,WIP: Kalavasta 2018
flh_solar_pv_solar_radiation_max,1361.35634547,WIP: Same as NL 2015
land_available_for_solar,26225.8,Assumed to be equal to areable land.
number_of_inhabitants,5659715,(1 Jan 2015) DK 2015 > 11_area_source_analysis
offshore_suitable_for_wind,10000,WIP: guess
onshore_suitable_for_wind,26225.8,WIP: guess
other_emission_agriculture,10.29862,EU > 11_area_non_energy_emissions.xls
other_emission_built_environment,0,EU > 11_area_non_energy_emissions.xls
other_emission_industry_energy,3.14421,EU > 11_area_non_energy_emissions.xls
other_emission_transport,0,EU > 11_area_non_energy_emissions.xls
solar_pv_profile_1_share,1,
solar_pv_profile_2_share,0,
buildings_insulation_constant_1,0.73,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
buildings_insulation_constant_2,0.13,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
buildings_insulation_cost_constant,39402.4,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_buildings_max,3,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_buildings_min,0.6,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_new_houses_max,3,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
insulation_level_old_houses_max,3,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
new_houses_insulation_constant_1,1.85,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
new_houses_insulation_constant_2,0.05,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
new_houses_insulation_cost_constant,7071,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
number_of_buildings,300000,WIP: guess
number_of_residences,2775000,2014 data > 11_area_source_analysis
old_houses_insulation_constant_1,0.66,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
old_houses_insulation_constant_2,0.16,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
old_houses_insulation_cost_constant,5962.7,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
residences_roof_surface_available_for_pv,145.3,WIP: Total based on Ecofys analysis; share of residences is assumed as 2/3
buildings_roof_surface_available_for_pv,72.7,WIP: Total based on Ecofys analysis; share of buildings is assumed as 1/3
technical_lifetime_insulation,30,WIP: See: https://github.com/quintel/documentation/blob/master/general/insulation.md
co2_emission_1990,51.37310513,DK emmissions from: 201807_EEA_all_countries GHG emissions IPCC format 1990 UNFCCC_v21
co2_emission_1990_aviation_bunkers,1.73073572,DK emmissions from: 201807_EEA_all_countries GHG emissions IPCC format 1990 UNFCCC_v22
co2_emission_1990_marine_bunkers,3.01229527,DK emmissions from: 201807_EEA_all_countries GHG emissions IPCC format 1990 UNFCCC_v23
co2_percentage_free,0.85,WIP: NL 2011 value
co2_price,0.0078,WIP: http://www.energeia.nl: Feb/12/2016 Cal 17 forward price
economic_multiplier,1,WIP: NL 2011 value
employment_fraction_production,0.5,WIP: NL 2011 value
employment_local_fraction,0.2,WIP: NL 2011 value
man_hours_per_man_year,1800,WIP: NL 2011 value
buildings_insulation_employment_constant,0.0093,WIP: NL 2011 value
new_houses_insulation_employment_constant,0.014,WIP: NL 2011 value
old_houses_insulation_employment_constant,0.014,WIP: NL 2011 value
lv_net_capacity_per_step,0.2,
lv_net_costs_per_capacity_step,183200,
lv_net_spare_capacity,0.25,
lv_net_total_costs_present,838847167.7,
lv_mv_trafo_capacity_per_step,0.2,
lv_mv_trafo_costs_per_capacity_step,40000,
lv_mv_trafo_spare_capacity,0.25,
lv_mv_trafo_total_costs_present,298839303.5,
mv_net_capacity_per_step,2,
mv_net_costs_per_capacity_step,1380000,
mv_net_spare_capacity,0.25,
mv_net_total_costs_present,720884284.7,
mv_hv_trafo_capacity_per_step,2,
mv_hv_trafo_costs_per_capacity_step,500000,
mv_hv_trafo_spare_capacity,0.25,
mv_hv_trafo_total_costs_present,251654150.3,
hv_net_capacity_per_step,20,
hv_net_costs_per_capacity_step,7280000,
hv_net_spare_capacity,0.25,
hv_net_total_costs_present,423617819.7,
interconnection_net_costs_present,139550090.5,
interconnector_capacity,5850,
offshore_net_costs_present,26607183.6,
annual_infrastructure_cost_gas,1452,
number_of_cars,2391000,https://www.statista.com/statistics/452288/denmark-number-of-registered-passenger-cars/
electric_vehicle_profile_1_share,1,WIP: Assumed that at present all EV charge according to the Movares Overal laden profile
electric_vehicle_profile_2_share,0,WIP: Assumed that at present all EV charge according to the Movares Overal laden profile
electric_vehicle_profile_3_share,0,WIP: Assumed that at present all EV charge according to the Movares Overal laden profile
