Key,Value,Source / comment
area,es,
group,country,
id,6,
parent_id,6,
enabled.etengine,TRUE,
enabled.etmodel,TRUE,
analysis_year,2012,
has_agriculture,TRUE,
has_buildings,TRUE,
has_weather_curves,FALSE,
has_coastline,TRUE,
has_cold_network,FALSE,
has_electricity_storage,TRUE,
has_employment,FALSE,
has_detailed_chemical_industry,FALSE,
has_fce,FALSE,
has_industry,TRUE,
has_lignite,FALSE,
has_merit_order,TRUE,
has_metal,TRUE,
has_mountains,TRUE,
has_old_technologies,TRUE,
has_other,TRUE,
has_solar_csp,TRUE,
has_import_export,TRUE,
use_network_calculations,FALSE,
has_coal_oil_for_heating_built_environment,TRUE,
has_aggregated_chemical_industry,TRUE,
has_other_emissions_section,TRUE,
areable_land,123498,The World Factbook (land area * areable land %) (https://www.cia.gov/library/publications/the-world-factbook/geos/sp.html)
coast_line,4964,The World Factbook (https://www.cia.gov/library/publications/the-world-factbook/geos/sp.html)
offshore_ccs_potential_mt_per_year,41.95,See etdataset/source_analyses/eu/2015/11_area/11_ccs_offshore_storage_potential_per_year.xls
flh_solar_pv_solar_radiation_max,1780,
total_land_area,500729.6832,Wikipedia: https://nl.wikipedia.org/wiki/Spanje
number_of_inhabitants,46818219,Eurostat 2012; Population on 1 January (demo_gind) database
offshore_suitable_for_wind,51082,Based on Ecofys analysis
non_energetic_emissions_co2_chemical_industry,2.86592382,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_co2_other_industry,15.27114791,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_co2_agriculture_manure,0.39052035,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_co2_agriculture_soil_cultivation,0.04514555,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
non_energetic_emissions_co2_waste_management,0,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
indirect_emissions_co2,0,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
energetic_emissions_other_ghg_industry,1.06143486,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
energetic_emissions_other_ghg_energy,1.22895249,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
energetic_emissions_other_ghg_transport,0.87619621,EEA (see etdataset/source_analyses/general/11_area/greenhouse_gas_emissions.xlsx for background and source data)
