PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,42563.3,0,29190.83,31326.77,0,0,0,0,0,0,0,0,0,0,0,2167.46,x,6058.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,7353.57,7353.57,206688.29,12174.67,8107.99,18631.26,0,0,0,0,0,670702.54,73975.31,736.88,29500.11,71283.28,0,178131.26,0,0,0,1395945.52,606582.62
Imports,x,x,14636.17,66783.02,456334.78,0,0,0,4501.56,0,0,0,0,0,0,0,0,1276811.34,x,2509000.65,0,150237.5,150.6,0,0,0,16329.99,3564.01,132.01,0,98900,0,285249.61,129319.99,53768.02,1395.21,3359.99,468,680.02,59712.02,24319.99,0,0,0,0,0,3318.12,77830.52,0,0,0,0,0,0,0,0,0,0,0,0,0,28038.25,0,5264841.38,81148.64
Exports,x,x,-6097.32,-441.67,-38897.8,0,0,0,-12352.48,0,0,0,0,0,0,0,0,-101777.17,x,0,0,-102594.98,0,0,0,0,-13799.99,-148631.99,-44,0,-7568.02,0,-263779.2,-57520.02,-51348,-9330.41,-1721.99,-15288.02,-720,-53727.99,-85160.01,0,0,0,0,0,-3237.82,-16602.84,0,0,0,0,0,0,0,0,0,0,0,0,0,-68361.9,0,-1059003.62,-19840.66
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-49671.61,-298040,0,0,0,0,0,0,-480.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-348191.62,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-150715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-150715,0
Stock changes,x,x,35033.89,2659.58,5812.99,-1101.59,0,0,5573.34,0,0,0,0,0,0,0,0,2701.03,x,12628.85,0,24055.01,0,0,0,0,-3036.02,3960,0,0,-645.02,-86,19212.6,7439.99,-704.01,479.6,1050.01,2534.98,-80.01,3392.02,7360.02,0,0,0,0,0,160.56,901.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129303.33,1062.07
Total primary energy supply,x,x,86136.04,69000.93,452440.81,30225.14,0,0,-2277.58,0,0,0,0,0,0,0,0,1179902.71,x,2527687.93,0,71697.48,150.6,0,0,0,-506.02,-141108.01,88.01,0,-60027.99,-86,-8988.6,-218799.99,1716,-7455.6,2688.01,-12284.99,-119.99,9376,-53959.98,0,7353.57,7353.57,206688.29,12174.67,8348.81,80760.44,0,0,0,0,0,670702.54,73975.31,736.88,29500.11,71283.28,0,178131.26,0,-40323.66,0,5232179.99,668952.63
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,37527.5,0,0,71973.02,0,-5106.01,25608.02,88.01,0,129429.98,-359867.02,-21214.81,74120.01,51171.99,2223.61,5291.99,9828.01,-200,480.02,-16320.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5034.29,0
Statistical differences,x,x,4909.44,648.41,-2077.16,-2304.33,0,0,3590.52,0,0,0,0,0,0,0,0,-128.66,x,0,0,0,0,0,0,0,1011.99,-44,44,0,-171.99,0,2811.6,680.02,351.98,348.8,210.01,1832.98,119.99,288.01,25080.02,0,0,0,0,0,0,-37.56,0,0,0,0,0,0,0,0,0,0,0,0,0,2981.34,0,40145.42,-37.56
