key,demand,full_load_hours
energy_chp_local_engine_network_gas,3.40809551803868E+04,3.87163350443886E+03
energy_chp_local_engine_biogas,6.07090000000000E+02,8.00000000000000E+03
energy_chp_local_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
industry_chp_turbine_gas_power_fuelmix,1.21823099064309E+05,6.00000000000000E+03
industry_chp_engine_gas_power_fuelmix,1.14253371073669E+04,6.00000000000000E+03
industry_chp_combined_cycle_gas_power_fuelmix,1.02379981530719E+05,6.00000000000000E+03
industry_chp_ultra_supercritical_coal,1.89090000000000E+04,5.00000000000000E+03
industry_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
energy_chp_combined_cycle_network_gas,0.00000000000000E+00,4.50000000000000E+03
energy_chp_ultra_supercritical_cofiring_coal,0.00000000000000E+00,4.50000000000000E+03
energy_chp_ultra_supercritical_coal,0.00000000000000E+00,4.00000000000000E+03
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,7.00000000000000E+03
energy_chp_supercritical_waste_mix,0.00000000000000E+00,6.00000000000000E+03
