Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide,Woody biomass
2.01000000000000E+03,1.38013675200000E+05,0.00000000000000E+00,3.25314360000000E+03,5.17069800000003E+03,6.69490254000000E+05,2.49944507496000E+05
2.01100000000000E+03,1.20547287600000E+05,0.00000000000000E+00,2.71030180000000E+03,5.61456400000001E+03,6.70096397000000E+05,2.56019530498881E+05
2.01200000000000E+03,1.03080900000000E+05,0.00000000000000E+00,2.16746000000000E+03,6.05843000000000E+03,6.70702540000000E+05,2.62094553501762E+05
2.01300000000000E+03,1.10206611340805E+05,0.00000000000000E+00,2.03344350287969E+03,9.29702675661654E+03,6.44929326415524E+05,2.68169576504642E+05
2.01400000000000E+03,1.17332322681611E+05,0.00000000000000E+00,1.89942700575937E+03,1.25356235132331E+04,6.19156112831049E+05,2.74244599507523E+05
2.01500000000000E+03,1.24458034022416E+05,0.00000000000000E+00,1.76541050863906E+03,1.57742202698496E+04,5.93382899246573E+05,2.80319622510404E+05
2.01600000000000E+03,1.23250462715929E+05,0.00000000000000E+00,1.80743963657904E+03,1.56770824207307E+04,5.93382899246573E+05,3.01000794239852E+05
2.01700000000000E+03,1.22042891409441E+05,0.00000000000000E+00,1.84946876451903E+03,1.55799445716117E+04,5.93382899246573E+05,3.21681965969299E+05
2.01800000000000E+03,1.20835320102953E+05,0.00000000000000E+00,1.89149789245901E+03,1.54828067224928E+04,5.93382899246573E+05,3.42363137698747E+05
2.01900000000000E+03,1.19627748796465E+05,0.00000000000000E+00,1.93352702039899E+03,1.53856688733739E+04,5.93382899246573E+05,3.63044309428195E+05
2.02000000000000E+03,1.18420177489978E+05,0.00000000000000E+00,1.97555614833898E+03,1.52885310242549E+04,5.93382899246573E+05,3.83725481157643E+05
2.02100000000000E+03,1.03677774316014E+05,0.00000000000000E+00,2.03435633500816E+03,1.51368654717600E+04,5.93382899246573E+05,3.82732201849372E+05
2.02200000000000E+03,8.89353711420509E+04,0.00000000000000E+00,2.09315652167734E+03,1.49851999192651E+04,5.93382899246573E+05,3.81738922541101E+05
2.02300000000000E+03,7.41929679680875E+04,0.00000000000000E+00,2.15195670834652E+03,1.48335343667701E+04,5.93382899246573E+05,3.80745643232830E+05
2.02400000000000E+03,5.94505647941240E+04,0.00000000000000E+00,2.21075689501571E+03,1.46818688142752E+04,5.93382899246573E+05,3.79752363924560E+05
