Key,Value,Source
country,eu,
base_year,2011,
chp_allocation_protermo,0,assumption; no source available
chp_allocation_iea,1,
chp_allocation_decc,0,
chp_total_heat_produciton,10000000,dummy number
chp_total_fuel_input,20000000,dummy number
chp_agriculture_unsold_gas,0.9935,best fit
chp_agriculture_unsold_wood_pellets,1,not relevant
chp_agriculture_elec_prod_gas,1,chritical check fails if not = 100%
chp_residential_unsold_gas,0.28,best fit
chp_residential_unsold_wood_pellets,1,not relevant
chp_residential_elec_prod_gas,1,chritical check fails if not = 100%
chp_caps_unsold_gas,0,best fit (check still fails)
chp_caps_unsold_wood_pellets,0,not relevant
chp_caps_elec_prod_gas,1,chritical check fails if not = 100%
chp_ei_unsold_gas_turbine,0.4874,best fit (after setting assumptions below)
chp_ei_unsold_gas_engine,0.4874,best fit (after setting assumptions below)
chp_ei_unsold_gas_cc,0.4874,best fit (after setting assumptions below)
chp_ei_unsold_coal,0,Assumption: Coal CHPs sell all their heat production
chp_ei_elec_prod_gas,0.9,Assumption
chp_ei_elec_prod_gas_turbine,0.26,taken from NL dataset
chp_ei_elec_prod_gas_engine,0.01,taken from NL dataset
chp_ei_elec_prod_gas_cc,0.73,taken from NL dataset
chp_i_unsold_gas_turbine,0.5714,best fit (after setting assumptions below)
chp_i_unsold_gas_engine,0.5714,best fit (after setting assumptions below)
chp_i_unsold_gas_cc,0.5714,best fit (after setting assumptions below)
chp_i_unsold_coal,1,Assumptions: Coal CHPs in industry do not sell heat
chp_i_elec_prod_gas_turbine,0.26,taken from NL dataset
chp_i_elec_prod_gas_engine,0.01,taken from NL dataset
chp_i_elec_prod_gas_cc,0.73,taken from NL dataset
chp_waste_removal_caps,1,
chp_waste_removal_industry,0,
chp_flh_agriculture_gas,8000,adapted so that the total Gas CHP capacity approaches 42 GW
chp_flh_agriculture_biogas,8000,from NL dataset
chp_flh_agriculture_wood_pellets,6000,from NL dataset
chp_flh_residential_gas,8000,adapted so that the total Gas CHP capacity approaches 42 GW
chp_flh_residential_biogas,8000,from NL dataset
chp_flh_residential_wood_pellets,6000,from NL dataset
chp_flh_caps_gas,8000,adapted so that the total Gas CHP capacity approaches 42 GW
chp_flh_caps_biogas,8000,from NL dataset
chp_flh_caps_wood_pellets,6000,from NL dataset
chp_flh_iei_gas_turbine,8000,adapted so that the total Gas CHP capacity approaches 42 GW
chp_flh_iei_gas_engine,8000,adapted so that the total Gas CHP capacity approaches 42 GW
chp_flh_iei_gas_cc,8000,adapted so that the total Gas CHP capacity approaches 42 GW
chp_flh_iei_coal,7000,from NL dataset
chp_flh_ma_gas,8000,adapted so that the total Gas CHP capacity approaches 42 GW
chp_flh_ma_coal,4500,from NL dataset
chp_flh_ma_lignite,7000,from NL dataset
chp_flh_ma_cofiring,4500,from NL dataset
chp_flh_waste,6000,from NL dataset
