Key,Value,Source
country,eu,
base_year,2011,
residences_final_demand_space_heating,7480500.33561365,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_final_demand_hot_water,1611184.68767063,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_final_demand_cooling,34525.3861643707,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_final_demand_lighting,345253.861643707,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_final_demand_cooking,690507.723287414,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_final_demand_appliances,1381015.44657483,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_percentage_space_heating_combi_boiiler,0.0674791016215128,Weighted average based on Ecofys data for DE; FR; UK and ES and subsequently optimized to match checks; see source analysis
residences_percentage_space_heating_heat_pump_ground,0.000201430154094068,
residences_percentage_space_heating_district,0.118440930607312,
residences_percentage_space_heating_heat_pump_air,0.00644576493101017,
residences_percentage_space_heating_woodpellets,0.160741262967066,
residences_percentage_space_heating_electric_resistance,0.0789606204048746,
residences_percentage_space_heating_gas_burner,0.345553429348374,
residences_percentage_space_heating_oil_burner,0.175244234061839,
residences_percentage_space_heating_coal_burner,0.0469332259039178,
residences_percentage_space_heating_hybrid_heatpump,0,Set to 0
residences_percentage_hot_water_combi_boiiler,0.0503,Set equal to space heating
residences_percentage_hot_water_heat_pump_ground,0.0002,
residences_percentage_hot_water_district,0.0583,
residences_percentage_hot_water_heat_pump_air,0.0017,
residences_percentage_hot_water_woodpellets,0.0583,
residences_percentage_hot_water_electric_resistance,0.316,
residences_percentage_hot_water_gas_burner,0.362,
residences_percentage_hot_water_oil_burner,0.1313,
residences_percentage_hot_water_coal_burner,0.0146,
residences_percentage_hot_water_hybrid_heatpump,0,Set to 0
residences_percentage_cooling_heat_pump_ground,0,No data available; assumed 100% airconditioning
residences_percentage_cooling_heat_pump_air,0,No data available; assumed 100% airconditioning
residences_percentage_cooling_aircondition,1,No data available; assumed 100% airconditioning
residences_percentage_lighting_incandescent,0.6675,Based on expert data; see /source_analyses/eu/2012/6_residences/lighting_source_analysis.xlsx
residences_percentage_lighting_efficient_fluorescent,0.315,Based on expert data; see /source_analyses/eu/2012/6_residences/lighting_source_analysis.xlsx
residences_percentage_lighting_led,0.0175,Based on expert data; see /source_analyses/eu/2012/6_residences/lighting_source_analysis.xlsx
residences_percentage_cooking_gas,0.5,Increased share
residences_percentage_cooking_electric_resistance,0.25,Reduced share of electric cooking technologies to match electricity consumption for cooking; JRC_2012_Energy Efficiency Status Report 2012; see source analysis
residences_percentage_cooking_electric_halogen,0.1,Reduced share of electric cooking technologies to match electricity consumption for cooking; JRC_2012_Energy Efficiency Status Report 2012; see source analysis
residences_percentage_cooking_electric_induction,0.05,Reduced share of electric cooking technologies to match electricity consumption for cooking; JRC_2012_Energy Efficiency Status Report 2012; see source analysis
residences_percentage_cooking_biomass,0.1,Increased share
residences_percentage_appliances_dishwasher,0.0626,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_percentage_appliances_fridge_freezer,0.2583,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_percentage_appliances_washing_machine,0.1096,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_percentage_appliances_dryer,0.0448,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_percentage_appliances_television,0.1217,Enerdata_2014_Energy Efficiency Trends for households in the EU; see source analysis
residences_percentage_appliances_computer_media,0.175,JRC_2012_Energy Efficiency Status Report 2012; see source analysis
residences_percentage_appliances_vacuum_cleaner,0.059,JRC_2012_Energy Efficiency Status Report 2012; see source analysis
residences_percentage_appliances_others,0.169,Remaining
residences_number_of_residences,210574900,
residences_number_of_apartments_before_1945,2620421,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_number_of_apartments_1945_1964,6393262,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_number_of_apartments_1965_1984,12481803,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_number_of_apartments_1985_2004,7910742,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_number_of_apartments_2005_present,4289274,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_number_of_detached_houses_before_1945,24867759,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_number_of_detached_houses_1945_1964,12228848,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
residences_number_of_detached_houses_1965_1984,35514039,See /source_analyses/de/2015/6_residences/6_residences_number_of_units.xlsx
