key,value
present_number_of_residences,2.10574900000000E+08
present_number_of_apartments_before_1945,2.62042100000000E+06
present_number_of_apartments_1945_1964,6.39326200000000E+06
present_number_of_apartments_1965_1984,1.24818030000000E+07
present_number_of_apartments_1985_2004,7.91074200000000E+06
present_number_of_apartments_2005_present,4.28927400000000E+06
present_number_of_detached_houses_before_1945,2.48677590000000E+07
present_number_of_detached_houses_1945_1964,1.22288480000000E+07
present_number_of_detached_houses_1965_1984,3.55140390000000E+07
present_number_of_detached_houses_1985_2004,2.60898870000000E+07
present_number_of_detached_houses_2005_present,1.56971430000000E+07
present_number_of_semi_detached_houses_before_1945,0.00000000000000E+00
present_number_of_semi_detached_houses_1945_1964,0.00000000000000E+00
present_number_of_semi_detached_houses_1965_1984,0.00000000000000E+00
present_number_of_semi_detached_houses_1985_2004,0.00000000000000E+00
present_number_of_semi_detached_houses_2005_present,0.00000000000000E+00
present_number_of_terraced_houses_before_1945,4.52709100000000E+06
present_number_of_terraced_houses_1945_1964,9.79242800000000E+06
present_number_of_terraced_houses_1965_1984,1.82758580000000E+07
present_number_of_terraced_houses_1985_2004,1.72466820000000E+07
present_number_of_terraced_houses_2005_present,1.26396630000000E+07
present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,2.65788656832619E-02
present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,5.09914764359327E-02
present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,8.67010196792274E-02
present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,6.30299679745636E-02
present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,3.26259341208693E-02
present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,9.26109739373945E-02
present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,4.13858852806986E-02
present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,1.45158915966018E-01
present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,9.83907560474513E-02
present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,4.98773122394164E-02
present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,3.30032499212170E-02
present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,6.26921409371479E-02
present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,1.05083898649485E-01
present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,7.26476273312289E-02
present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,3.92219757960872E-02
