Key,Value,Source
country,fr,
base_year,2012,
transport_percentage_of_gasoline_mix_delivered_to_cars,0.983267887,EUROSTAT (see source_analyses/EU/2013/8_transport)
transport_percentage_of_diesel_mix_delivered_to_cars,0.525166116,EUROSTAT (see source_analyses/EU/2013/8_transport)
transport_percentage_of_electricity_mix_delivered_to_cars,0.242586921,EUROSTAT (see source_analyses/EU/2013/8_transport)
transport_road_lng,0,NVGA (see source_analyses/EU/2013/8_transport)
transport_percentage_of_compressed_network_gas_mix_delivered_to_cars,0.1402,NVGA (see source_analyses/EU/2013/8_transport)
transport_road_bio_lng,0,Because 0
transport_shipping_lng_ship_type,0,Because 0
transport_shipping_bio_lng_ship_type,0,Because 0
