PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098846.52,x,65117.51,16235.99,0,6071.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33244.62,28319.56,54003.61,13091.5,c,63639.99,0,0,0,0,0,44637.11,403.27,1501.72,2826.51,1127.8,0,20872.96,522.09,0,0,2450462.74,190711.96
Imports,x,x,3310.88,127442.59,1053739.22,0,819.98,0,13338.01,0,1340.78,499.99,0,0,0,0,0,873607.56,x,2027396.02,302192,0,29260,0,0,0,221857.99,417780.01,0,0,112402.01,8127,656167.81,1403240.02,665412.02,38542.38,54557.98,7214.99,4800,32960,31240.02,0,8431.38,7182.62,5757.9,0,4995.02,0,0,0,1409.99,0,0,0,0,0,0,0,0,0,0,118299.29,0,8233325.45,20594.28
Exports,x,x,-1816.61,0,-769743.14,0,0,0,-15247.49,0,-3058.71,0,0,0,0,0,0,-1762212.06,x,-26217.78,-3520.01,0,-17160.02,0,0,0,-74934.01,-830675.98,-2639.99,0,-259849.01,-15953.01,-1182363,-1178799.99,-485231.99,-18268.39,-66486.01,-19032.02,-6479.99,-35200.02,-44520,0,-1418.74,-1207.77,-11738.74,0,c,-55943.98,0,0,-1139.98,0,0,0,0,0,0,0,0,0,0,-65272.55,0,-6956130.98,-70241.44
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-57169.2,-471079.98,0,0,-840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-529089.18,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-149683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-149683,0
Stock changes,x,x,-468.8,-3841.93,-30721.61,0,-200,0,1710.01,0,0,0,0,0,0,0,0,-3292.16,x,59267.59,-3871.99,0,1100,0,0,0,-1747.99,-5104,88.01,0,1547.99,602.02,6177,-4719.99,-11308,871.98,-3738.02,-234,-160.02,64.02,359.98,0,0,0,0,0,377.98,2627.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5385.06,3004.99
Total primary energy supply,x,x,1025.51,123600.7,253274.48,0,619.98,0,-199.5,0,-1717.89,499.99,0,0,0,0,0,1206949.9,x,2125563.29,311035.99,0,19272.01,0,0,0,145175.99,-417999.98,-2551.98,0,-295582.01,-7223.99,-577187.39,-251359.98,168871.98,21146.02,-16506,-12050.99,-1840.01,-2176.01,-12920,0,40257.25,34294.41,48022.76,13091.5,5373,10323.02,0,0,270.01,0,0,44637.11,403.27,1501.72,2826.51,1127.8,0,20872.96,522.09,53026.74,0,3054270.27,144069.8
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,-16807.99,43251.99,-15444.02,0,125235.02,0,-4462,298408.02,0,0,-1032,-3912.98,-16060.19,-86999.99,-251944,-19707.18,-1175.99,-78,359.98,-1248,-7880.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40502.64,0
Statistical differences,x,x,0,0,1836,0,20.01,0,-28.51,0,0,-20.01,0,0,0,0,0,-8643.82,x,0,0,0,0,0,0,0,-91.98,44,-88.01,0,-43,-43,-170.4,160.02,-88.01,-87.21,-83.99,-38.98,0,-31.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4842.87,-1474.72,-13716.46,0
