key,demand,full_load_hours
energy_heater_for_heat_network_geothermal,0.00000000000000E+00,3.67200000000000E+03
energy_heater_for_heat_network_wood_pellets,1.93064407347787E+03,2.19000000000000E+03
energy_heater_for_heat_network_coal,0.00000000000000E+00,2.19000000000000E+03
energy_heater_for_heat_network_lignite,0.00000000000000E+00,2.19000000000000E+03
energy_heater_for_heat_network_crude_oil,3.63027731691256E+04,2.19000000000000E+03
energy_heater_for_heat_network_network_gas,2.66181709109634E+04,2.19000000000000E+03
energy_heater_for_heat_network_waste_mix,0.00000000000000E+00,2.19000000000000E+03
energy_power_supercritical_coal,1.23539295260331E+05,7.85000000000000E+03
energy_power_ultra_supercritical_coal,7.52994782608696E+04,7.90000000000000E+03
energy_power_ultra_supercritical_ccs_coal,0.00000000000000E+00,7.50000000000000E+03
energy_power_ultra_supercritical_cofiring_coal,2.46342857142857E+04,7.90000000000000E+03
energy_power_combined_cycle_coal,3.73883820371015E+03,1.57500000000000E+03
energy_power_combined_cycle_ccs_coal,0.00000000000000E+00,4.00000000000000E+03
energy_power_ultra_supercritical_lignite,0.00000000000000E+00,6.32900000000000E+03
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.00000000000000E+00,5.97200000000000E+03
energy_power_turbine_network_gas,0.00000000000000E+00,2.00000000000000E+02
energy_power_combined_cycle_network_gas,9.82649400000000E+04,2.00000000000000E+03
energy_power_combined_cycle_ccs_network_gas,0.00000000000000E+00,1.50000000000000E+03
energy_power_ultra_supercritical_network_gas,3.91815900000000E+04,1.09000000000000E+03
energy_power_ultra_supercritical_crude_oil,0.00000000000000E+00,4.00000000000000E+03
energy_power_engine_diesel,0.00000000000000E+00,4.00000000000000E+03
energy_power_engine_network_gas,0.00000000000000E+00,1.00000000000000E+00
energy_power_supercritical_waste_mix,0.00000000000000E+00,4.10000000000000E+03
energy_power_nuclear_gen2_uranium_oxide,4.60237500000000E+04,5.70000000000000E+03
energy_power_nuclear_gen3_uranium_oxide,0.00000000000000E+00,7.80000000000000E+03
energy_power_hydro_river,4.11428571428571E+02,3.08000000000000E+03
energy_power_hydro_mountain,0.00000000000000E+00,4.49200000000000E+03
energy_power_geothermal,0.00000000000000E+00,8.00000000000000E+03
energy_power_solar_pv_solar_radiation,4.32000000000000E+02,8.67000000000000E+02
energy_power_solar_csp_solar_radiation,0.00000000000000E+00,8.67000000000000E+02
energy_power_wind_turbine_coastal,6.63642311147102E+03,2.30000000000000E+03
energy_power_wind_turbine_offshore,2.94789173700439E+03,3.50000000000000E+03
energy_power_wind_turbine_inland,1.19303243267823E+04,1.80000000000000E+03
buildings_solar_pv_solar_radiation,4.68804123711340E+03,8.67000000000000E+02
households_solar_pv_solar_radiation,1.25694587628866E+04,8.67000000000000E+02
agriculture_chp_engine_network_gas,7.44041403817812E+04,3.60000000000000E+03
agriculture_chp_engine_biogas,3.82584000000000E+03,8.00000000000000E+03
agriculture_chp_supercritical_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
households_collective_chp_network_gas,0.00000000000000E+00,4.50000000000000E+03
households_collective_chp_biogas,0.00000000000000E+00,8.00000000000000E+03
households_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
buildings_collective_chp_network_gas,1.26574361111681E+03,4.50000000000000E+03
buildings_chp_engine_biogas,3.61503500000000E+03,8.00000000000000E+03
buildings_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
industry_chp_turbine_gas_power_fuelmix,2.85763123873783E+04,3.70000000000000E+03
industry_chp_engine_gas_power_fuelmix,8.32949547336914E+02,1.30000000000000E+03
industry_chp_combined_cycle_gas_power_fuelmix,3.87941544427823E+04,2.12000000000000E+03
industry_chp_ultra_supercritical_coal,1.17600000000000E+03,4.50000000000000E+03
energy_chp_combined_cycle_network_gas,1.48688571428571E+05,4.90000000000000E+03
energy_chp_ultra_supercritical_cofiring_coal,1.09945945945946E+04,5.80000000000000E+03
energy_chp_ultra_supercritical_coal,6.23340000000000E+04,5.90000000000000E+03
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,4.50000000000000E+03
energy_chp_supercritical_waste_mix,4.71333333333333E+04,5.10000000000000E+03
