Key,Value,Source
country,nl,
base_year,2015,
chp_allocation_protermo,0,CBS expert
chp_allocation_iea,1,
chp_allocation_decc,0,
chp_total_heat_produciton,191950,CBS (2015) Elektriciteit; productie en productiemiddelen; also see 1_chp_source_analysis.xlsx - CBS data 2015- sheet
chp_total_fuel_input,499940,CBS (2015) Elektriciteit; productie en productiemiddelen; also see 1_chp_source_analysis.xlsx - CBS data 2015- sheet
chp_agriculture_unsold_gas,1,Almost no sold heat production in agriculture; 0 TJ according to IEA autoproducer table
chp_agriculture_unsold_wood_pellets,1,Almost no sold heat production in agriculture; 0 TJ according to IEA autoproducer table
chp_agriculture_elec_prod_gas,1,There are only 'Gasmotor' CHPs in agriculture according to CBS
chp_residential_unsold_gas,1,No CHPs in households according to IEA autoproducer table and CBS
chp_residential_unsold_wood_pellets,1,No CHPs in households according to IEA autoproducer table and CBS
chp_residential_elec_prod_gas,0.2,No CHPs in households according to IEA autoproducer table and CBS
chp_caps_unsold_gas,0,
chp_caps_unsold_wood_pellets,0,Not relevant; only gas and biogas CHP produciton left after waste incineration is subtracted
chp_caps_elec_prod_gas,0.934,Optimized to make wood_pellets fuel use in industry close to 0; after subtracting maximum percentage of el. Prod with waste from industry without making sold heat in industry go to <0
chp_ei_unsold_gas_turbine,0,Optimized to match sold heat production
chp_ei_unsold_gas_engine,0,Optimized to match sold heat production
chp_ei_unsold_gas_cc,0,Optimized to match sold heat production
chp_ei_unsold_coal,0,Not relevant
chp_ei_elec_prod_gas,1,1_chp_source_analysis.xlsx: \No coal use in energy industry according to CBS data 2015
chp_ei_elec_prod_gas_turbine,0.555571089,1_chp_source_analysis.xlsx
chp_ei_elec_prod_gas_engine,0.018313994,1_chp_source_analysis.xlsx
chp_ei_elec_prod_gas_cc,0.426114917,1_chp_source_analysis.xlsx
chp_i_unsold_gas_turbine,1,Optimized to match sold heat production
chp_i_unsold_gas_engine,1,Optimized to match sold heat production
chp_i_unsold_gas_cc,0.983,Optimized to match sold heat production
chp_i_unsold_coal,1,
chp_i_elec_prod_gas_turbine,0.2565,1_chp_source_analysis.xlsx
chp_i_elec_prod_gas_engine,0.01276,1_chp_source_analysis.xlsx
chp_i_elec_prod_gas_cc,0.73074,1_chp_source_analysis.xlsx
chp_waste_removal_caps,0.59,
chp_waste_removal_industry,0.41,
chp_flh_heat_network_gas,3361,Weighted average of FLHs of CHP in households; buildings; agriculture. Based on central_producers table. FLH of sectors based on EnergyMatters. Households: 3200; Buildings: 4500; Agriculture 4500.
chp_flh_heat_network_biogas,8000,Weighted average of FLHs of CHP in households; buildings; agriculture. Based on central_producers table. FLH of sectors based on EnergyMatters. All sectors 8000
chp_flh_heat_network_wood_pellets,6000,Weighted average of FLHs of CHP in households; buildings; agriculture. Based on central_producers table. FLH of sectors based on EnergyMatters. All sectors 6000
chp_flh_iei_gas_turbine,3200,Re-estimate FLH; to match CBS installed capacities
chp_flh_iei_gas_engine,1300,Re-estimate FLH; to match CBS installed capacities
chp_flh_iei_gas_cc,1600,Re-estimate FLH; to match CBS installed capacities
chp_flh_iei_coal,4500,EnergyMatters heat FLH
chp_flh_iei_wood_pellets,6000,EnergyMatters heat FLH
chp_flh_ma_gas,3700,Re-estimate FLH; to match CBS installed capacities
chp_flh_ma_coal,8000,Re-estimate FLH; to match CBS installed capacities
chp_flh_ma_lignite,4500,EnergyMatters heat FLH. Coal CHP
chp_flh_ma_cofiring,8000,Re-estimate FLH; to match CBS installed capacities
chp_flh_waste,5000,Re-estimate FLH; to match CBS installed capacities; See: both 1_chp_source_analysis.xlsx and 2_chp_pp_source_analysis.xlsx
chp_elec_eff_heat_nework_gas,0.43,See node source analysis of energy_chp_local_engine_network_gas
chp_heat_eff_heat_nework_gas,0.47,See node source analysis of energy_chp_local_engine_network_gas
chp_elec_eff_heat_nework_biogas,0.43,See node source analysis of energy_chp_local_engine_biogas
chp_heat_eff_heat_nework_biogas,0.47,See node source analysis of energy_chp_local_engine_biogas
chp_elec_eff_heat_nework_wood_pellets,0.289,See node source analysis of energy_chp_local_wood_pellets 
chp_heat_eff_heat_nework_wood_pellets,0.821,See node source analysis of energy_chp_local_wood_pellets 
chp_elec_eff_iei_gas_turbine,0.38,See node source analysis of industry_chp_turbine_gas_power_fuelmix
chp_heat_eff_iei_gas_turbine,0.42,See node source analysis of industry_chp_turbine_gas_power_fuelmix
chp_elec_eff_iei_gas_engine,0.42,See node source analysis of industry_chp_engine_gas_power_fuelmix
chp_heat_eff_iei_gas_engine,0.48,See node source analysis of industry_chp_engine_gas_power_fuelmix
chp_elec_eff_iei_gas_cc,0.46,See node source analysis of industry_chp_combined_cycle_gas_power_fuelmix
chp_heat_eff_iei_gas_cc,0.42,See node source analysis of industry_chp_combined_cycle_gas_power_fuelmix
chp_elec_eff_iei_coal,0.4,See node source analysis of industry_chp_ultra_supercritical_coal
chp_heat_eff_iei_coal,0.15,See node source analysis of industry_chp_ultra_supercritical_coal
chp_elec_eff_iei_wood_pellets,0.279,See node source analysis of industry_chp_wood_pellets
chp_heat_eff_iei_wood_pellets,0.835,See node source analysis of industry_chp_wood_pellets
chp_elec_eff_ma_gas,0.46,See node source analysis of energy_chp_combined_cycle_network_gas
chp_heat_eff_ma_gas,0.42,See node source analysis of energy_chp_combined_cycle_network_gas
chp_elec_eff_ma_coal,0.4,See node source analysis of energy_chp_ultra_supercritical_coal
chp_heat_eff_ma_coal,0.15,See node source analysis of energy_chp_ultra_supercritical_coal
chp_elec_eff_ma_lignite,0.35,See node source analysis of energy_chp_ultra_supercritical_lignite
chp_heat_eff_ma_lignite,0.15,See node source analysis of energy_chp_ultra_supercritical_lignite
chp_elec_eff_ma_cofiring,0.37,See node source analysis of energy_chp_ultra_supercritical_cofiring_coal
chp_heat_eff_ma_cofiring,0.15,See node source analysis of energy_chp_ultra_supercritical_cofiring_coal
chp_elec_eff_waste,0.27,See node source analysis of energy_chp_supercritical_waste_mix
chp_heat_eff_waste,0.15,See node source analysis of energy_chp_supercritical_waste_mix
