key,demand,full_load_hours,electricity_output_conversion,heat_output_conversion
energy_chp_local_engine_network_gas,8.96811249432401E+04,3.36100000000000E+03,4.30000000000000E-01,4.70000000000000E-01
energy_chp_local_engine_biogas,7.96252978723404E+03,8.00000000000000E+03,4.30000000000000E-01,4.70000000000000E-01
energy_chp_local_wood_pellets,1.15826940521373E+03,6.00000000000000E+03,2.89000000000000E-01,8.21000000000000E-01
industry_chp_turbine_gas_power_fuelmix,1.97071029027961E+04,3.20000000000000E+03,3.80000000000000E-01,4.20000000000000E-01
industry_chp_engine_gas_power_fuelmix,6.55943880108984E+02,1.30000000000000E+03,4.20000000000000E-01,4.80000000000000E-01
industry_chp_combined_cycle_gas_power_fuelmix,2.02092020286692E+04,1.60000000000000E+03,4.60000000000000E-01,4.20000000000000E-01
industry_chp_coal_gas,8.69674000000000E+03,6.35438233269404E+03,4.23469024025095E-01,2.79415045177848E-02
industry_chp_ultra_supercritical_coal,9.15035473307967E+00,4.50000000000000E+03,4.00000000000000E-01,1.50000000000000E-01
industry_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03,2.79000000000000E-01,8.35000000000000E-01
energy_chp_combined_cycle_network_gas,1.16162608695652E+05,3.70000000000000E+03,4.60000000000000E-01,4.20000000000000E-01
energy_chp_ultra_supercritical_cofiring_coal,1.51783783783784E+03,8.00000000000000E+03,3.70000000000000E-01,1.50000000000000E-01
energy_chp_ultra_supercritical_coal,9.73530000000000E+04,8.00000000000000E+03,4.00000000000000E-01,1.50000000000000E-01
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,4.50000000000000E+03,3.50000000000000E-01,1.50000000000000E-01
energy_chp_supercritical_waste_mix,4.84133333333333E+04,5.00000000000000E+03,2.70000000000000E-01,1.50000000000000E-01
