key,value
present_number_of_residences,7.58796400000000E+06
present_number_of_apartments_before_1945,5.16342000000000E+05
present_number_of_apartments_1945_1964,3.71806000000000E+05
present_number_of_apartments_1965_1984,7.29999000000000E+05
present_number_of_apartments_1985_2004,5.91948000000000E+05
present_number_of_apartments_2005_present,4.66180000000000E+05
present_number_of_detached_houses_before_1945,1.78650000000000E+05
present_number_of_detached_houses_1945_1964,1.75973000000000E+05
present_number_of_detached_houses_1965_1984,3.33220000000000E+05
present_number_of_detached_houses_1985_2004,2.23668000000000E+05
present_number_of_detached_houses_2005_present,1.05276000000000E+05
present_number_of_semi_detached_houses_before_1945,2.37409000000000E+05
present_number_of_semi_detached_houses_1945_1964,2.14301000000000E+05
present_number_of_semi_detached_houses_1965_1984,6.06264000000000E+05
present_number_of_semi_detached_houses_1985_2004,4.16081000000000E+05
present_number_of_semi_detached_houses_2005_present,1.73292000000000E+05
present_number_of_terraced_houses_before_1945,6.22120000000000E+05
present_number_of_terraced_houses_1945_1964,3.12200000000000E+05
present_number_of_terraced_houses_1965_1984,5.04251000000000E+05
present_number_of_terraced_houses_1985_2004,5.50888000000000E+05
present_number_of_terraced_houses_2005_present,2.58096000000000E+05
present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,6.25040726869224E-02
present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,4.74523564642453E-02
present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,9.53994416233717E-02
present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,7.70344579668123E-02
present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,6.12550022813887E-02
present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,3.87108078042949E-02
present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,3.83527943771621E-02
present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,7.27807449156890E-02
present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,4.86054436010130E-02
present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,2.27994495913242E-02
present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,4.25312979748771E-02
present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,3.94372730348244E-02
present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,1.12216227322524E-01
present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,7.61178811197236E-02
present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,3.14951939462689E-02
present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,3.70316563248165E-02
present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,1.85715330739085E-02
present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,2.97821990506175E-02
present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,3.27032751808859E-02
present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,1.52188916593297E-02
