Key,Value,Source
country,nl,
base_year,2019,
residences_final_demand_space_heating,256465.528553391,See 6_residences_source_analysis_2019.xlsx
residences_final_demand_hot_water,45683.7692693476,See 6_residences_source_analysis_2019.xlsx
residences_final_demand_cooling,966.465,See 6_residences_source_analysis_2019.xlsx
residences_final_demand_lighting,8800,See 6_residences_source_analysis_2019.xlsx
residences_final_demand_cooking,8418.75,See 6_residences_source_analysis_2019.xlsx
residences_final_demand_appliances,62546.59014,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_combi_boiiler,0.841465980264908,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_heat_pump_ground,0.00797555488813612,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_district,0.0372422323211894,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_heat_pump_air,0.0240085924140354,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_woodpellets,0.0478921940617699,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_electric_resistance,0.0151112724735282,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_gas_burner,0.0233620458837902,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_oil_burner,0.00138629597709083,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_coal_burner,0.000136865626247907,See 6_residences_source_analysis_2019.xlsx
residences_percentage_space_heating_hybrid_heatpump,0.00141896608930396,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_combi_boiiler,0.850733169679975,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_heat_pump_ground,0.00599213892832944,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_district,0.0447689236823674,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_heat_pump_air,0.0190548924981361,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_woodpellets,0,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_electric_resistance,0.0547445563716741,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_gas_burner,0.0235199631343327,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_oil_burner,0,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_coal_burner,0,See 6_residences_source_analysis_2019.xlsx
residences_percentage_hot_water_hybrid_heatpump,0.0011863557051853,See 6_residences_source_analysis_2019.xlsx
residences_percentage_cooling_heat_pump_ground,0.0867036491965896,No good source; See 6_residences_source_analysis_2019.xlsx
residences_percentage_cooling_heat_pump_air,0.261003819508729,No good source; See 6_residences_source_analysis_2019.xlsx
residences_percentage_cooling_aircondition,0.652292531294681,No good source; See 6_residences_source_analysis_2019.xlsx
residences_percentage_lighting_incandescent,0.409285714285714,No good source; see 6_residences_source_analysis_2019.xlsx
residences_percentage_lighting_efficient_fluorescent,0.485,No good source; see 6_residences_source_analysis_2019.xlsx
residences_percentage_lighting_led,0.105714285714286,No good source; see 6_residences_source_analysis_2019.xlsx
residences_percentage_cooking_gas,0.544949374040642,See 6_residences_source_analysis_2019.xlsx
residences_percentage_cooking_electric_resistance,0.0379208854966132,See 6_residences_source_analysis_2019.xlsx
residences_percentage_cooking_electric_halogen,0.303367083972906,See 6_residences_source_analysis_2019.xlsx
residences_percentage_cooking_electric_induction,0.11376265648984,See 6_residences_source_analysis_2019.xlsx
residences_percentage_cooking_biomass,0,See 6_residences_source_analysis_2019.xlsx
residences_percentage_appliances_dishwasher,0.0819672131147541,See 6_residences_source_analysis_2019.xlsx
residences_percentage_appliances_fridge_freezer,0.295081967213115,See 6_residences_source_analysis_2019.xlsx
residences_percentage_appliances_washing_machine,0.0819672131147541,See 6_residences_source_analysis_2019.xlsx
residences_percentage_appliances_dryer,0.0983606557377049,See 6_residences_source_analysis_2019.xlsx
residences_percentage_appliances_television,0.131147540983607,See 6_residences_source_analysis_2019.xlsx
residences_percentage_appliances_computer_media,0.131147540983607,See 6_residences_source_analysis_2019.xlsx
residences_percentage_appliances_vacuum_cleaner,0.0655737704918033,See 6_residences_source_analysis_2019.xlsx
residences_percentage_appliances_others,0.114754098360656,See 6_residences_source_analysis_2019.xlsx
residences_hot_water_share_coming_from_solar_thermal,0.5,NL 2011 value; not relevant anymore
residences_percentage_apartments,0.3514,See 6_residences_source_analysis_2019.xlsx
residences_percentage_corner_houses,0.1294,See 6_residences_source_analysis_2019.xlsx
residences_percentage_detached_houses,0.1301,See 6_residences_source_analysis_2019.xlsx
residences_percentage_semi_detached_houses,0.0885,See 6_residences_source_analysis_2019.xlsx
residences_percentage_terraced_houses,0.3006,See 6_residences_source_analysis_2019.xlsx
average_heat_demand_apartments,0.0205916515915537,See 6_residences_source_analysis_2019.xlsx
average_heat_demand_corner_houses,0.0352999741569493,See 6_residences_source_analysis_2019.xlsx
average_heat_demand_detached_houses,0.0545545055152852,See 6_residences_source_analysis_2019.xlsx
average_heat_demand_semi_detached_houses,0.0411833031831075,See 6_residences_source_analysis_2019.xlsx
average_heat_demand_terraced_houses,0.029416645130791,See 6_residences_source_analysis_2019.xlsx
