Key,Value,Source / comment
area,pl,
id,5,
parent_id,5,
enabled.etengine,true,
enabled.etmodel,true,
analysis_year,2012,
has_agriculture,true,
has_buildings,true,
has_climate,false,
has_coastline,true,
has_cold_network,false,
has_electricity_storage,true,
has_employment,false,
has_fce,false,
has_industry,true,
has_lignite,true,
has_merit_order,true,
has_metal,true,
has_mountains,true,
has_old_technologies,true,
has_other,true,
has_solar_csp,false,
has_import_export,true,
use_network_calculations,false,
areable_land,107980,The World Factbook (land area * areable land %) (https://www.cia.gov/library/publications/the-world-factbook/geos/pl.html)
coast_line,440,The World Factbook (https://www.cia.gov/library/publications/the-world-factbook/geos/pl.html)
land_available_for_solar,107980,Assumed to be equal to areable land
number_of_inhabitants,38533000,Central Statistical Office of Poland (http://stat.gov.pl/)
offshore_suitable_for_wind,22231,Based on Ecofys analysis
onshore_suitable_for_wind,85330,Based on Ecofys analysis
buildings_insulation_constant_1,0.73,
buildings_insulation_constant_2,0.13,
buildings_insulation_cost_constant,39402.4,
insulation_level_buildings_max,3,
insulation_level_buildings_min,0.6,
insulation_level_new_houses_max,3,
insulation_level_old_houses_max,3,
new_houses_insulation_constant_1,1.85,
new_houses_insulation_constant_2,0.05,
new_houses_insulation_cost_constant,7071,
number_of_buildings,512880.53361554,Estimated based on floor area from ENTRANZE and floor_area:number_of_buildings ratio in NL
number_of_residences,13560500,GUS_201403_Energy Consumption in Households in 2012
old_houses_insulation_constant_1,0.66,
old_houses_insulation_constant_2,0.16,
old_houses_insulation_cost_constant,5962.7,
residences_roof_surface_available_for_pv,263,Total based on Ecofys analysis; share of residences is assumed as 2/3.
buildings_roof_surface_available_for_pv,132,Total based on Ecofys analysis; share of services is assumed as 1/3.
technical_lifetime_insulation,30,
co2_emission_1990,332.3,1990 CO2 Emissions (energy related) in EU energy trends to 2030 (http://ec.europa.eu/clima/policies/package/docs/trends_to_2030_update_2009_en.pdf)
co2_percentage_free,0.85,
co2_price,0.005,www.energeia.nl Aug/6/2015 Cal16 frowards price
economic_multiplier,1,
employment_fraction_production,0.5,
employment_local_fraction,0.2,
man_hours_per_man_year,1800,
buildings_insulation_employment_constant,0.0093,
new_houses_insulation_employment_constant,0.014,
old_houses_insulation_employment_constant,0.014,
annual_infrastructure_cost_electricity,0,
annual_infrastructure_cost_gas,0,
capacity_buffer_decentral_in_mj_s,0,
capacity_buffer_in_mj_s,0,
export_electricity_primary_demand_factor,1,
import_electricity_primary_demand_factor,1.85,
investment_hv_net_low,0.2,
investment_hv_net_high,0.25,
investment_hv_net_per_turbine,1.2,
number_of_cars,18744000,EUROSTAT (see source_analyses/eu/2013/8_transport
