,,Metervraag aardgas,Metervraag aardgas,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag warmtenet,Metervraag warmtenet,Metervraag waterstof,Metervraag waterstof,Metervraag biomassa,Metervraag biomassa,Metervraag olie,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal
,,koken,warm tapwater,ruimteverwarming,koken,warm tapwater,ruimteverwarming,hulpvraag,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,ruimteverwarming,aardgas,elektriciteit,warmtenet,waterstof,biomassa,olie,totaal
geo_id,bag_vbo_id,,,,,,,,,,,,,,,,,,,,,
GM0277,'0277010000000003',5.966167952593979,2.5569291225402773,30.847702817354687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4302854608505702,0.0,0.0,0.0,0.0,112.93129023633313,1.04760957
GM0277,'0277010000000004',5.966167952593979,2.5569291225402773,25.60876286340535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3667196560759849,0.0,0.0,0.0,0.0,95.40459125172742,1.04760551
GM0277,'0277010000000005',6.272356690482831,2.688152867349786,36.37692860605495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4973734004201333,0.0,0.0,0.0,0.0,132.1760852803881,1.04760957
GM0277,'0277010000000006',5.966167952593979,2.5569291225402773,17.995931497330762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2743506355009465,0.0,0.0,0.0,0.0,69.93611767757044,1.04760551
GM0277,'0277010000000007',5.966167952593979,2.5569291225402773,29.09700976769627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090437185147147,0.0,0.0,0.0,0.0,107.0744049951359,1.0476079
GM0277,'0277010000000008',5.966167952593979,2.5569291225402773,31.21661344761775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434761576497762,0.0,0.0,0.0,0.0,114.1654684528572,1.0476079
GM0277,'0277010000000009',5.966167952593979,2.5569291225402773,16.719566771892595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2588640768322968,0.0,0.0,0.0,0.0,65.6660820341079,1.0476079
GM0277,'0277010000000010',5.966167952593979,2.5569291225402773,26.33419274167956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3755215385990452,0.0,0.0,0.0,0.0,97.80853630236552,1.04758024
GM0277,'0277010000000011',5.955669737454547,2.5524298874805207,19.079376015368243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287496428986468,0.0,0.0,0.0,0.0,73.51676889664468,1.04758024
GM0277,'0277010000000012',5.955669737454547,2.5524298874805207,21.225595797116213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3135372290050101,0.0,0.0,0.0,0.0,80.69687563582312,1.04758024
GM0277,'0277010000000013',5.955669737454547,2.5524298874805207,18.97739272777864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2862590317637141,0.0,0.0,0.0,0.0,73.17558720745659,1.04757512
GM0277,'0277010000000014',5.955669737454547,2.5524298874805207,22.751327945653436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332049445740595,0.0,0.0,0.0,0.0,85.8011616810161,1.04757512
GM0277,'0277010000000015',5.955669737454547,2.5524298874805207,18.28838896062994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778991193889766,0.0,0.0,0.0,0.0,70.87054807125284,1.04757512
GM0277,'0277010000000016',5.955669737454547,2.5524298874805207,20.37339334290499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031971725605805,0.0,0.0,0.0,0.0,77.84586073200795,1.04757512
GM0277,'0277010000000018',5.945407353908602,2.548031723103687,27.592254796562194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3907860248649545,0.0,0.0,0.0,0.0,102.12822948619564,1.04760706
GM0277,'0277010000000019',5.966167952593979,2.5569291225402773,21.96120350020516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3224626024691559,0.0,0.0,0.0,0.0,83.2018029874533,1.04760361
GM0277,'0277010000000020',5.131228355702573,2.1990978667296748,14.859805441645378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2362989726919639,0.0,0.0,0.0,0.0,58.14070693811625,1.04759383
