Variable,Value,Unit
tres_electric_car_fev_annual_kms,15000.0,km/y
tres_electric_car_fev_annual_kwh,3000.0,kWh/y
tres_electric_car_fev_annual_tj,0.0108,TJ/y
tres_electric_car_phev_relative_annual_electric_kms,0.3,factor
tres_electric_car_phev_annual_tj,0.00324,TJ/y
tres_electric_bus_annual_kms,60000.0,km/y
tres_electric_bus_annual_kwh,120000.0,kWh/y
tres_electric_bus_annual_tj,0.432,TJ/y
tres_electric_truck_annual_kms,50000.0,km/y
tres_electric_truck_annual_kwh,50000.0,kWh/y
tres_electric_truck_annual_tj,0.18,TJ/y
tres_electric_van_annual_kms,17776.0,km/y
tres_electric_van_annual_kwh,17776.0,kWh/y
tres_electric_van_annual_tj,0.064,TJ/y
tres_electric_motorcycle_scooter_annual_kwh,400.0,kWh/y
tres_electric_motorcycle_scooter_annual_tj,0.00144,TJ/y
tres_electric_bike_passenger_kms_per_mj,28.57142857,pkm/MJ
tres_electric_bike_mj_per_passenger_km,0.035,MJ/pkm
tres_electric_bike_tj_per_passenger_km,3.5e-08,TJ/pkm
tres_electric_bike_share_in_total_bike_kms,0.16,factor
tres_normal_bike_share_in_total_bike_kms,0.84,factor
tres_mj_per_kg_cng,37.96856106,MJ/kg
tres_km_per_kg_cng,21.0,km/kg
tres_mj_per_km_cng,1.808026717,MJ/km
tres_cng_car_annual_kms,15000.0,km/y
tres_cng_car_annual_tj,0.027120401,TJ/y
tres_cng_bus_annual_kms,60000.0,km/y
tres_cng_bus_km_per_kg,2.63,km/kg
tres_cng_bus_annual_kg,22813.68821,km/y
tres_cng_bus_annual_tj,0.866202914,TJ/y
tres_cng_truck_annual_kms,50000.0,km/y
tres_cng_truck_km_per_kg,2.63,km/kg
tres_cng_truck_annual_kg,19011.40684,kg/y
tres_cng_truck_annual_tj,0.721835762,TJ/y
tres_cng_van_annual_kms,17776.0,km/y
tres_cng_van_km_per_kg,10.5,km/y
tres_cng_van_annual_kg,1692.990802,km/kg
tres_cng_van_annual_tj,0.064280425,TJ/y
tres_h2_car_km_per_kg,92.0,km/kg
tres_h2_car_annual_km,15000.0,km/y
tres_h2_car_annual_kg,163.0434783,kg/y
tres_mj_per_kg_h2,120.0,MJ/kg
tres_h2_car_annual_tj,0.019565217,TJ/y
tres_h2_bus_km_per_kg,10.0,km/kg
tres_h2_bus_annual_km,60000.0,km/y
tres_h2_bus_annual_kg,6000.0,kg/y
tres_h2_bus_annual_tj,0.72,TJ/y
tres_h2_truck_km_per_kg,10.0,km/kg
tres_h2_truck_annual_kg,5000.0,kg/y
tres_h2_truck_annual_tj,0.6,TJ/y
tres_h2_van_km_per_kg,46.0,km/kg
tres_h2_van_annual_kg,386.4435527,kg/y
tres_h2_van_annual_tj,0.05,TJ/y
