Woningtype ETM,Bouwjaarklasse ETM,Woningkenmerken/oppervlakte,Functionele vraag/ruimteverwarming,# Aantal woningen,Functionele vraag ruimteverwarming (% van totaal),Gemiddelde netto warmtevraag (kWh/m2),Gemiddeld warmteverbruik (GJ/woning)
Appartement,1945 - 1964,27877208,13868791.0,389149,0.047446249709101676,138.19324892379626,35.638768183908994
Appartement,1965 - 1984,56533294,27884384.4,764104,0.09539472223836809,137.01063188239718,36.49291771800697
Appartement,1985 - 2004,49773759,22521455.1,619749,0.07704770967324559,125.68791016969404,36.33963927331872
Appartement,< 1945,44384324,18263483.8,540306,0.062480847316318575,114.30139038378606,33.8021117662954
Appartement,>= 2005,40670329,17900428.3,487850,0.06123880524421129,122.25967472366513,36.69248396023368
Hoekhuis,1945 - 1964,34059905,11212943.8,298688,0.03836038278382906,91.44789485205878,37.54065714056139
Hoekhuis,1965 - 1984,71076500,21276205.4,565546,0.07278761027334953,83.15064832336364,37.62064518182429
Hoekhuis,1985 - 2004,51070078,14211256.3,379666,0.04861785105059586,77.29714441486549,37.43094272334104
Hoekhuis,< 1945,42294705,11314840.1,303169,0.038708978223347436,74.31216600018581,37.321890100900816
Hoekhuis,>= 2005,26329176,6665263.2,178679,0.022802401605452566,70.31978516912189,37.303002591239036
Rijtjeshuis,1945 - 1964,31369734,11529726.2,309270,0.039444120858319366,102.09527827753406,37.28045461894138
Rijtjeshuis,1965 - 1984,102394457,32805926.6,874897,0.11223171402626667,88.99658883770329,37.49690146382946
Rijtjeshuis,1985 - 2004,72141608,22256447.5,600539,0.07614109735466572,85.69737630158976,37.06078622703938
Rijtjeshuis,< 1945,42161575,12430484.9,342512,0.04252568883406043,81.89714146642345,36.29211502078759
Rijtjeshuis,>= 2005,32550601,9208093.6,250093,0.031501628966099565,78.57931034139055,36.81867785183911
Vrijstaand huis,1945 - 1964,25666204,5428366.2,143081,0.018570877464203432,58.749610967013275,37.939112810226376
Vrijstaand huis,1965 - 1984,44424532,8696886.9,230912,0.029752749720521072,54.379906954712915,37.6632089280765
Vrijstaand huis,1985 - 2004,49404456,9560660.3,252508,0.03270778800961778,53.75504938708813,37.86280157460358
Vrijstaand huis,< 1945,59302854,10823805.5,285105,0.03702910935464729,50.69929077762242,37.96427807299065
Vrijstaand huis,>= 2005,26224111,4445866.6,118243,0.015209667293778876,47.092652423734954,37.599406307350115
