party,category,classification,measure,gas,unit,year,numberValue,stringValue
FRA,1.  Energy,Total for category,Emission factor information,CH4,no unit,1990,,"CR,CS,D,M,OTH,PS"
FRA,1.  Energy,Total for category,Emission factor information,CH4,no unit,2019,,"CR,CS,D,M,OTH,PS"
FRA,1.  Energy,Total for category,Emission factor information,CO2,no unit,1990,,"CS,D,M,OTH,PS"
FRA,1.  Energy,Total for category,Emission factor information,CO2,no unit,2019,,"CS,D,M,OTH,PS"
FRA,1.  Energy,Total for category,Emission factor information,N2O,no unit,1990,,"CS,D,M,OTH,PS"
FRA,1.  Energy,Total for category,Emission factor information,N2O,no unit,2019,,"CS,D,M,OTH,PS"
FRA,1.  Energy,Total for category,Indirect emissions,CO2,kt,1990,,IE
FRA,1.  Energy,Total for category,Indirect emissions,CO2,kt,2019,,IE
FRA,1.  Energy,Total for category,Indirect emissions,N2O,kt,1990,,NE
FRA,1.  Energy,Total for category,Indirect emissions,N2O,kt,2019,,NE
FRA,1.  Energy,Total for category,Method,CH4,no unit,1990,,"T1,T2,T3"
FRA,1.  Energy,Total for category,Method,CH4,no unit,2019,,"T1,T2,T3"
FRA,1.  Energy,Total for category,Method,CO2,no unit,1990,,"T1,T2,T3"
FRA,1.  Energy,Total for category,Method,CO2,no unit,2019,,"T1,T2,T3"
FRA,1.  Energy,Total for category,Method,N2O,no unit,1990,,"T1,T2,T3"
FRA,1.  Energy,Total for category,Method,N2O,no unit,2019,,"T1,T2,T3"
FRA,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,370559.8569524311,
FRA,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,303807.5949273351,
FRA,1.  Energy,Total for category,Net emissions/removals,CH4,kt,1990,497.1326612222305,
FRA,1.  Energy,Total for category,Net emissions/removals,CH4,kt,2019,125.21154492294451,
FRA,1.  Energy,Total for category,Net emissions/removals,CO,kt,1990,9949.805298764066,
FRA,1.  Energy,Total for category,Net emissions/removals,CO,kt,2019,2335.1864628190547,
FRA,1.  Energy,Total for category,Net emissions/removals,CO2,kt,1990,353592.9265406249,
FRA,1.  Energy,Total for category,Net emissions/removals,CO2,kt,2019,297137.0808748264,
FRA,1.  Energy,Total for category,Net emissions/removals,NH3,kt,1990,,NE
FRA,1.  Energy,Total for category,Net emissions/removals,NH3,kt,2019,,NE
FRA,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,1990,1763.38649834074,
