Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide,Woody biomass
2.01000000000000E+03,3.08438240054400E+06,3.77589873945600E+06,6.54442894800000E+06,4.30419787200000E+06,9.90441968400000E+06,4.38100964167680E+06
2.01100000000000E+03,3.03207091361280E+06,3.71185905438720E+06,6.47817702480000E+06,4.19895846720000E+06,9.84211172640000E+06,4.46236791441408E+06
2.01200000000000E+03,2.97975942668160E+06,3.64781936931840E+06,6.41192510160000E+06,4.09371906240000E+06,9.77980376880000E+06,4.54372618715136E+06
2.01300000000000E+03,2.92744793975040E+06,3.58377968424960E+06,6.34567317840000E+06,3.98847965760000E+06,9.71749581120000E+06,4.62508445988864E+06
2.01400000000000E+03,2.87513645281920E+06,3.51973999918080E+06,6.27942125520000E+06,3.88324025280000E+06,9.65518785360000E+06,4.70644273262592E+06
2.01500000000000E+03,2.82282496588800E+06,3.45570031411200E+06,6.21316933200000E+06,3.77800084800000E+06,9.59287989600000E+06,4.78780100536320E+06
2.01600000000000E+03,2.78402524049664E+06,3.40820171790336E+06,6.14899406160000E+06,3.66681618720000E+06,9.29451178080000E+06,4.89012666531840E+06
2.01700000000000E+03,2.74522551510528E+06,3.36070312169472E+06,6.08481879120000E+06,3.55563152640000E+06,8.99614366560000E+06,4.99245232527360E+06
2.01800000000000E+03,2.70642578971392E+06,3.31320452548608E+06,6.02064352080000E+06,3.44444686560000E+06,8.69777555040000E+06,5.09477798522880E+06
2.01900000000000E+03,2.66762606432256E+06,3.26570592927744E+06,5.95646825040000E+06,3.33326220480000E+06,8.39940743520000E+06,5.19710364518400E+06
2.02000000000000E+03,2.62882633893120E+06,3.21820733306880E+06,5.89229298000000E+06,3.22207754400000E+06,8.10103932000000E+06,5.29942930513920E+06
2.02100000000000E+03,2.58272295865344E+06,3.16176760774656E+06,5.75638945200000E+06,3.12095795040000E+06,7.99542310320000E+06,5.30632647198720E+06
2.02200000000000E+03,2.53661957837568E+06,3.10532788242432E+06,5.62048592400000E+06,3.01983835680000E+06,7.88980688640000E+06,5.31322363883520E+06
