nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,667662.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.22,1087.2,0.0,35012.16,15289.2,1148.1,125.6,50162.7,0.0,9708.3,15862.9,9216.507,0.0,9587.78,0.0,0.0,0.0,267.67,4535.6,13154.4,14618.4,474803.091,12960.28,0.0
Recovered and recycled products,2448.828,0.0,0.0,331.279,785.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,3676956.379,14226.713,44576.324,50438.812,11.792,0.0,64.008,9961.789,0.0,9240.292,6700.968,0.0,0.0,0.0,0.0,0.0,0.0,1450335.313,0.0,64117.752,0.0,0.0,0.0,0.0,97027.8,56333.2,44.0,0.0,61330.9,2700.4,170442.8,349183.68,229320.0,414.2,67027.8,34047.0,28640.0,684.0,29888.0,804875.22,0.0,0.0,0.0,0.0,0.0,0.0,28541.6,263.7,0.0,31.5,2360.542,0.0,17652.374,0.0,0.0,0.0,595.66,0.0,0.0,34.4,0.0,0.0,45843.84
Exports,1591057.725,673.673,31.302,1574.891,11.792,0.0,42.672,1125.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106980.583,0.0,0.0,0.0,0.0,32006.8,207935.2,0.0,0.0,91426.6,13437.5,111575.2,467850.24,171824.0,2118.96,64100.4,14714.7,46096.0,0.0,30072.0,156603.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6158.194,0.0,12177.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52520.4
Change in stock,-35616.603,-3084.113,1678.904,-1850.957,44.448,0.0,3.048,-747.354,0.0,-7.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.876,0.0,3408.015,0.0,0.0,0.0,0.0,-404.8,2266.0,0.0,0.0,-2502.6,490.2,902.0,-16852.56,-3036.0,26.16,340.2,58.5,-4006.4,0.0,-920.0,-11564.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,2720392.988,10468.928,46223.926,47344.243,829.997,0.0,24.384,8089.008,0.0,9232.761,6700.968,0.0,0.0,0.0,0.0,0.0,0.0,1450478.19,0.0,-39454.815,0.0,0.0,0.0,0.0,64616.2,-149336.0,44.0,0.0,-32598.3,-10246.9,59769.6,-135519.12,55792.0,-1678.6,3267.6,19390.8,-21462.4,684.0,-1104.0,636829.56,1087.2,0.0,35012.16,15289.2,1148.1,125.6,78704.3,263.7,9708.3,15894.4,5418.855,0.0,15062.203,0.0,0.0,0.0,863.33,4535.6,13154.4,14652.8,474803.091,12960.28,-6676.56
International maritime bunkers,343244.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49407.48,293424.0,0.0,0.0,0.0,0.0,0.0,0.0,413.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,2377148.138,10468.928,46223.926,47344.243,829.997,0.0,24.384,8089.008,0.0,9232.761,6700.968,0.0,0.0,0.0,0.0,0.0,0.0,1450478.19,0.0,-39454.815,0.0,0.0,0.0,0.0,64616.2,-149336.0,44.0,0.0,-32598.3,-10246.9,59769.6,-184926.6,-237632.0,-1678.6,3267.6,19390.8,-21462.4,684.0,-1104.0,636416.19,1087.2,0.0,35012.16,15289.2,1148.1,125.6,78704.3,263.7,9708.3,15894.4,5418.855,0.0,15062.203,0.0,0.0,0.0,863.33,4535.6,13154.4,14652.8,474803.091,12960.28,-6676.56
International aviation,71358.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71358.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,2305789.638,10468.928,46223.926,47344.243,829.997,0.0,24.384,8089.008,0.0,9232.761,6700.968,0.0,0.0,0.0,0.0,0.0,0.0,1450478.19,0.0,-39454.815,0.0,0.0,0.0,0.0,64616.2,-149336.0,44.0,0.0,-103956.8,-10246.9,59769.6,-184926.6,-237632.0,-1678.6,3267.6,19390.8,-21462.4,684.0,-1104.0,636416.19,1087.2,0.0,35012.16,15289.2,1148.1,125.6,78704.3,263.7,9708.3,15894.4,5418.855,0.0,15062.203,0.0,0.0,0.0,863.33,4535.6,13154.4,14652.8,474803.091,12960.28,-6676.56
