nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,173509.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16352.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89745.924,3191.702,0.0,36070.146,144.288,573.307,0.0,9933.577,0.0,2092.051,5727.899,178.133,0.0,1237.902,0.0,0.0,0.0,0.0,2178.313,0.0,6084.219,0.0,0.0,0.0
Recovered and recycled products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,504813.49,2154.412,0.0,8620.525,0.0,0.0,0.0,0.0,0.0,0.0,411.959,0.0,0.0,0.0,0.0,0.0,0.0,109296.733,0.0,6587.403,0.0,0.0,0.0,0.0,6557.833,22719.647,0.0,0.0,65767.135,14586.269,0.0,129468.958,4686.778,92.011,1921.676,8697.52,6742.033,95.64,0.0,101176.405,0.0,0.0,0.0,0.0,0.0,0.0,1042.672,0.0,0.0,0.0,809.39,243.641,2316.165,2972.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7846.484
Exports,69910.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.902,0.0,0.0,0.0,337.988,0.0,0.0,0.0,0.0,988.2,18126.759,0.0,0.0,2663.173,3102.461,1203.665,6868.733,29839.457,0.792,310.68,396.205,1.238,19.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5526.14
Change in stock,24630.456,48.645,0.0,5171.137,0.0,0.0,0.0,0.0,0.0,0.0,-10.205,0.0,0.0,0.0,0.0,15649.187,0.0,-936.218,0.0,287.914,0.0,0.0,0.0,0.0,144.769,5666.067,0.0,0.0,-3365.458,712.968,-112.56,1652.946,-60.245,0.0,0.0,0.0,-114.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.495,0.0,0.0,0.0,-107.829,0.0,-11.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,633043.143,2203.058,0.0,13791.663,0.0,0.0,0.0,0.0,0.0,0.0,401.753,0.0,0.0,0.0,0.0,31756.635,0.0,108360.514,0.0,6537.329,0.0,0.0,0.0,0.0,5714.403,10258.955,0.0,0.0,59738.504,12196.776,-1316.226,124253.171,-25212.925,91.219,1610.996,8301.314,6626.566,76.12,0.0,190922.33,3191.702,0.0,36070.146,144.288,573.307,0.0,10991.744,0.0,2092.051,5727.899,879.694,243.641,3261.438,2972.202,0.0,0.0,0.0,2178.313,0.0,6084.219,0.0,0.0,2320.344
International maritime bunkers,5950.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5521.327,428.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,627093.046,2203.058,0.0,13791.663,0.0,0.0,0.0,0.0,0.0,0.0,401.753,0.0,0.0,0.0,0.0,31756.635,0.0,108360.514,0.0,6537.329,0.0,0.0,0.0,0.0,5714.403,10258.955,0.0,0.0,59738.504,12196.776,-1316.226,118731.844,-25641.694,91.219,1610.996,8301.314,6626.566,76.12,0.0,190922.33,3191.702,0.0,36070.146,144.288,573.307,0.0,10991.744,0.0,2092.051,5727.899,879.694,243.641,3261.438,2972.202,0.0,0.0,0.0,2178.313,0.0,6084.219,0.0,0.0,2320.344
International aviation,46490.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46490.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,580602.404,2203.058,0.0,13791.663,0.0,0.0,0.0,0.0,0.0,0.0,401.753,0.0,0.0,0.0,0.0,31756.635,0.0,108360.514,0.0,6537.329,0.0,0.0,0.0,0.0,5714.403,10258.955,0.0,0.0,13247.862,12196.776,-1316.226,118731.844,-25641.694,91.219,1610.996,8301.314,6626.566,76.12,0.0,190922.33,3191.702,0.0,36070.146,144.288,573.307,0.0,10991.744,0.0,2092.051,5727.899,879.694,243.641,3261.438,2972.202,0.0,0.0,0.0,2178.313,0.0,6084.219,0.0,0.0,2320.344
