nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,1549915.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235335.6,0.0,71449.2,2444.4,446.0,0.0,395970.0,0.0,7600.0,32350.0,4463.256,0.0,13540.422,0.0,0.0,0.0,3052.72,68327.0,744.0,29861.0,679894.452,0.0,0.0
Recovered and recycled products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,1289793.495,0.0,45780.0,23070.8,0.0,0.0,0.0,12804.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.98,0.0,689374.511,0.0,42076.044,137.857,0.0,0.0,20742.588,56772.252,27093.24,52.314,0.0,42508.8,0.0,29339.076,109459.386,34016.8,0.0,74.06,2402.093,2262.78,0.0,0.0,41123.339,0.0,0.0,0.0,0.0,0.0,0.0,7506.0,0.0,0.0,4031.0,8395.172,0.0,53530.923,0.0,0.0,0.0,0.0,0.0,0.0,3721.0,0.0,0.0,32652.0
Exports,634894.71,0.0,0.0,0.0,0.0,0.0,0.0,1375.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41987.556,0.0,0.0,0.0,0.0,31770.36,82917.71,0.0,0.0,6350.4,0.0,824.619,163956.726,128714.4,0.0,13249.702,18663.415,835.488,0.0,0.0,935.087,0.0,0.0,0.0,0.0,0.0,0.0,2245.0,0.0,0.0,8.0,3985.05,2683.267,7316.874,236.537,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,126831.6
Change in stock,-39419.715,0.0,-540.0,1890.6,0.0,0.0,0.0,-3846.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.328,0.0,-31783.253,25.007,0.0,0.0,-67.843,652.95,2488.24,-0.703,0.0,-1110.845,0.0,1017.146,4218.517,-11513.273,0.0,6.44,308.525,-176.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.567,-260.994,-1766.142,882.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,2165394.62,0.0,45240.0,24961.4,0.0,0.0,0.0,7581.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5304.48,0.0,689558.839,0.0,-31694.765,162.864,0.0,0.0,20674.745,25654.842,-53336.23,51.61,0.0,35047.555,0.0,29531.603,-50278.823,-106210.873,0.0,-13169.202,-15952.797,1250.343,0.0,0.0,40188.253,235335.6,0.0,71449.2,2444.4,446.0,0.0,401231.0,0.0,7600.0,36373.0,8846.811,-2944.261,57988.329,645.525,0.0,0.0,3052.72,68327.0,744.0,33575.0,679894.452,0.0,-94179.6
International maritime bunkers,84388.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20115.053,63549.2,0.0,0.0,0.0,0.0,0.0,0.0,723.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,2081006.464,0.0,45240.0,24961.4,0.0,0.0,0.0,7581.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5304.48,0.0,689558.839,0.0,-31694.765,162.864,0.0,0.0,20674.745,25654.842,-53336.23,51.61,0.0,35047.555,0.0,29531.603,-70393.876,-169760.073,0.0,-13169.202,-15952.797,1250.343,0.0,0.0,39464.35,235335.6,0.0,71449.2,2444.4,446.0,0.0,401231.0,0.0,7600.0,36373.0,8846.811,-2944.261,57988.329,645.525,0.0,0.0,3052.72,68327.0,744.0,33575.0,679894.452,0.0,-94179.6
International aviation,37453.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37453.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,2043553.36,0.0,45240.0,24961.4,0.0,0.0,0.0,7581.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5304.48,0.0,689558.839,0.0,-31694.765,162.864,0.0,0.0,20674.745,25654.842,-53336.23,51.61,0.0,-2405.549,0.0,29531.603,-70393.876,-169760.073,0.0,-13169.202,-15952.797,1250.343,0.0,0.0,39464.35,235335.6,0.0,71449.2,2444.4,446.0,0.0,401231.0,0.0,7600.0,36373.0,8846.811,-2944.261,57988.329,645.525,0.0,0.0,3052.72,68327.0,744.0,33575.0,679894.452,0.0,-94179.6
