Country,Key,Value,Unit,Year,Source
AT,demand_ict_electricity_energetic,5295,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
BE,demand_ict_electricity_energetic,6578,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
BG,demand_ict_electricity_energetic,4967,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
CY,demand_ict_electricity_energetic,595,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
CZ,demand_ict_electricity_energetic,6692,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
DE,demand_ict_electricity_energetic,66020,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
DK,demand_ict_electricity_energetic,5327,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
EE,demand_ict_electricity_energetic,1260,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
ES,demand_ict_electricity_energetic,23007,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
FI,demand_ict_electricity_energetic,4584,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
FR,demand_ict_electricity_energetic,40360,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
UK,demand_ict_electricity_energetic,5366,TJ,2018,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
EL,demand_ict_electricity_energetic,3832,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
HR,demand_ict_electricity_energetic,2236,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
HU,demand_ict_electricity_energetic,6408,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
IE,demand_ict_electricity_energetic,5153,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
IT,demand_ict_electricity_energetic,25325,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
LT,demand_ict_electricity_energetic,1680,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
LU,demand_ict_electricity_energetic,899,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
LV,demand_ict_electricity_energetic,1649,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
NL,demand_ict_electricity_energetic,14468,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
PL,demand_ict_electricity_energetic,18312,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
PT,demand_ict_electricity_energetic,5330,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
RO,demand_ict_electricity_energetic,9029,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
SE,demand_ict_electricity_energetic,11275,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
SI,demand_ict_electricity_energetic,1260,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
SK,demand_ict_electricity_energetic,3272,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
MT,demand_ict_electricity_energetic,70,TJ,2019,Estatimated using nl2019 NACE J electricity consumption and Eurostat - Annual enterprise statistics by size class for special aggregates of activities (NACE Rev. 2) - table SBS_SC_SCA_R2
EU27_2020,demand_ict_electricity_energetic,274883,TJ,2019,Sum of EU27 countries
