Country,Key,Value,Unit,Year,Source
AT,industry_steel_production,7.424,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
BE,industry_steel_production,7.76,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
BG,industry_steel_production,0.566,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
CY,industry_steel_production,0,Mton,2019,Not in Table 1 of Statistical Yearbook
CZ,industry_steel_production,4.437,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
DE,industry_steel_production,39.627,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
DK,industry_steel_production,0,Mton,2019,Not in Table 1 of Statistical Yearbook
EE,industry_steel_production,0,Mton,2019,Not in Table 1 of Statistical Yearbook
ES,industry_steel_production,13.588,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
FI,industry_steel_production,3.473,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
FR,industry_steel_production,14.45,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
UK,industry_steel_production,7.218,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
EL,industry_steel_production,1.35,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
HR,industry_steel_production,0.069,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
HU,industry_steel_production,1.769,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
IE,industry_steel_production,0,Mton,2019,Not in Table 1 of Statistical Yearbook
IT,industry_steel_production,23.19,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
LT,industry_steel_production,0,Mton,2019,Not in Table 1 of Statistical Yearbook
LU,industry_steel_production,2.119,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
LV,industry_steel_production,0,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
NL,industry_steel_production,6.657,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
PL,industry_steel_production,8.956,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
PT,industry_steel_production,2.033,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
RO,industry_steel_production,3.448,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
SE,industry_steel_production,4.721,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
SI,industry_steel_production,0.623,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
SK,industry_steel_production,3.6,Mton,2019,Steel Statistical Yearbook 2020 concise version - Tabel 1: https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
AT,share_steel_blast_furnace_bof,90.4,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
BE,share_steel_blast_furnace_bof,67.5,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
BG,share_steel_blast_furnace_bof,0,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
CY,share_steel_blast_furnace_bof,0,%,2019,Not in Table 6 (continued) of Statistical Yearbook
CZ,share_steel_blast_furnace_bof,94.7,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
DE,share_steel_blast_furnace_bof,70,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
DK,share_steel_blast_furnace_bof,0,%,2019,Not in Table 6 (continued) of Statistical Yearbook
EE,share_steel_blast_furnace_bof,0,%,2019,Not in Table 6 (continued) of Statistical Yearbook
ES,share_steel_blast_furnace_bof,31.2,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
FI,share_steel_blast_furnace_bof,66.8,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
FR,share_steel_blast_furnace_bof,69.6,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
UK,share_steel_blast_furnace_bof,78.8,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
EL,share_steel_blast_furnace_bof,0,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
HR,share_steel_blast_furnace_bof,0,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
HU,share_steel_blast_furnace_bof,80.1,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
IE,share_steel_blast_furnace_bof,0,%,2019,Not in Table 6 (continued) of Statistical Yearbook
IT,share_steel_blast_furnace_bof,18.1,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
LT,share_steel_blast_furnace_bof,0,%,2019,Not in Table 6 (continued) of Statistical Yearbook
LU,share_steel_blast_furnace_bof,0,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
LV,share_steel_blast_furnace_bof,0,%,2019,Not in Table 6 (continued) of Statistical Yearbook
NL,share_steel_blast_furnace_bof,100,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
PL,share_steel_blast_furnace_bof,54.9,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
PT,share_steel_blast_furnace_bof,0,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
RO,share_steel_blast_furnace_bof,67.6,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
SE,share_steel_blast_furnace_bof,66.2,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
SI,share_steel_blast_furnace_bof,0,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
SK,share_steel_blast_furnace_bof,93.1,%,2019,Steel Statistical Yearbook 2020 concise version - Tabel 6 (continued): https://www.worldsteel.org/steel-by-topic/statistics/steel-statistical-yearbook.html
