,demand_fertilizers_coal_energetic,demand_fertilizers_network_gas_energetic,demand_fertilizers_crude_oil_energetic,demand_fertilizers_wood_pellets_energetic,demand_fertilizers_heat_energetic,demand_fertilizers_electricity_energetic,demand_fertilizers_coal_non_energetic,demand_fertilizers_network_gas_non_energetic,demand_fertilizers_crude_oil_non_energetic
AT,0.0,2991.6150263821296,0.0,0.0,0.0,312.5913533758419,0.0,6658.195826905433,0.0
DE,0.0,32907.76529020343,0.0,0.0,0.0,3438.504887134261,0.0,73240.15409595978,0.0
BE,0.0,7479.037565955325,0.0,0.0,0.0,781.4783834396047,0.0,16645.489567263583,0.0
BG,0.0,6731.133809359792,0.0,0.0,0.0,703.3305450956442,0.0,14980.940610537227,0.0
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,3739.5187829776623,0.0,0.0,0.0,390.7391917198024,0.0,8322.744783631792,0.0
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,4487.422539573195,0.0,0.0,0.0,468.8870300637629,0.0,9987.29374035815,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,11966.460105528518,0.0,0.0,0.0,1250.3654135033676,0.0,26632.78330762173,0.0
UK,0.0,10470.652592337454,0.0,0.0,0.0,1094.0697368154465,0.0,23303.68539416902,0.0
EL,0.0,1495.8075131910648,0.0,0.0,0.0,156.29567668792097,0.0,3329.0979134527165,0.0
HR,0.0,5235.326296168727,0.0,0.0,0.0,547.0348684077233,0.0,11651.84269708451,0.0
HU,0.0,7479.037565955325,0.0,0.0,0.0,781.4783834396047,0.0,16645.489567263583,0.0
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,3739.5187829776623,0.0,0.0,0.0,390.7391917198024,0.0,8322.744783631792,0.0
LT,0.0,10470.652592337454,0.0,0.0,0.0,1094.0697368154465,0.0,23303.68539416902,0.0
LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.0,22437.112697865974,0.0,0.0,0.0,2344.435150318814,0.0,49936.468701790756,0.0
PL,0.0,26176.63148084364,0.0,0.0,0.0,2735.1743420386165,0.0,58259.21348542255,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,0.0,5983.230052764259,0.0,0.0,0.0,625.1827067516838,0.0,13316.391653810866,0.0
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,5983.230052764259,0.0,0.0,0.0,625.1827067516838,0.0,13316.391653810866,0.0
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27_2020,0.0,159303.5001548484,0.0,0.0,0.0,16645.48956726358,0.0,354548.92778271437,0.0
