,Coke oven gas,Gas works gas,Blast furnace gas,Other recovered gases,Natural gas
AT,0.0,0.0,0.0,0.0,1.0
DE,0.0,0.0,0.0,0.0,1.0
BE,0.0,0.0,0.0,0.0,1.0
BG,0.0,0.0,0.0,0.0,1.0
CY,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,1.0,1.0
DK,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.0,0.0,0.0,1.0
FI,0.0,0.0,0.0,0.0,1.0
FR,0.0,0.0,0.0,0.0,1.0
UK,0.0,0.0,0.0,0.0,1.0
EL,0.0,0.0,0.0,0.0,1.0
HR,0.0,0.0,0.0,0.0,1.0
HU,0.0,0.0,0.0,0.0,0.9980060684872128
IE,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.0,0.0,0.0,1.0
LT,0.0,0.0,0.0,0.0,1.0
LU,0.0,0.0,0.0,0.0,0.0
LV,0.0,0.0,0.0,0.0,0.0
NL,0.0,0.0,0.0,0.0,0.9999999918421912
PL,0.0,0.0,0.0,0.0,1.0
PT,0.0,0.0,0.0,0.0,0.0
RO,0.0,0.0,0.0,0.0,1.0
SE,0.0,0.0,0.0,0.0,1.0
SI,0.0,0.0,0.0,0.0,1.0
SK,0.0,0.0,0.0,0.0,1.0
MT,0.0,0.0,0.0,0.0,0.0
EU27_2020,0.0,0.0,0.0,1.0,0.9999352191040868
